epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,26.516944,0.006312,0.031562,0.025521,0.122926,0.0005,conv,cub
2,6.97842,0.006312,0.031562,0.025521,0.119098,0.0005,conv,cub
3,6.553586,0.006312,0.031562,0.025521,0.114845,0.0005,conv,cub
4,6.443135,0.006312,0.031036,0.025521,0.114845,0.0005,conv,cub
5,6.361206,0.005786,0.031562,0.025521,0.114845,0.0005,conv,cub
6,6.29821,0.007891,0.032088,0.025096,0.114845,0.0005,conv,cub
7,6.255874,0.006839,0.034193,0.025096,0.114845,0.0005,conv,cub
8,6.226049,0.012625,0.042083,0.025521,0.114845,0.0005,conv,cub
9,6.200653,0.011047,0.05576,0.02382,0.119949,0.0005,conv,cub
10,6.134783,0.014203,0.069437,0.027222,0.133135,0.0005,conv,cub
11,5.905937,0.024198,0.091531,0.033177,0.189281,0.0005,conv,cub
12,5.734844,0.019989,0.10626,0.039558,0.203743,0.0005,conv,cub
13,5.650206,0.019989,0.115729,0.041684,0.227137,0.0005,conv,cub
14,5.60663,0.02788,0.126249,0.040834,0.221608,0.0005,conv,cub
15,5.582804,0.027354,0.147817,0.039558,0.226712,0.0005,conv,cub
16,5.543892,0.041557,0.154129,0.037856,0.223735,0.0005,conv,cub
17,5.500298,0.039979,0.168332,0.040408,0.234368,0.0005,conv,cub
18,5.404786,0.045239,0.204103,0.048065,0.230115,0.0005,conv,cub
19,5.320015,0.056812,0.226197,0.048065,0.237346,0.0005,conv,cub
20,5.267503,0.065755,0.241978,0.049341,0.250106,0.0005,conv,cub
21,5.223253,0.08101,0.256181,0.053169,0.252233,0.0005,conv,cub
22,5.172617,0.085218,0.280379,0.063377,0.258613,0.0005,conv,cub
23,5.113143,0.096791,0.325092,0.065929,0.294768,0.0005,conv,cub
24,4.971097,0.118885,0.382956,0.06678,0.310506,0.0005,conv,cub
25,4.828917,0.128353,0.41031,0.068907,0.319864,0.0005,conv,cub
26,4.767066,0.137822,0.447133,0.061676,0.319864,0.0005,conv,cub
27,4.704637,0.143083,0.447133,0.072735,0.309655,0.0005,conv,cub
28,4.64792,0.151499,0.469753,0.074862,0.338579,0.0005,conv,cub
29,4.637882,0.15676,0.477117,0.074436,0.335177,0.0005,conv,cub
30,4.555844,0.162546,0.502893,0.075712,0.351765,0.0005,conv,cub
31,4.484651,0.176223,0.513414,0.082093,0.337303,0.0005,conv,cub
32,4.385186,0.198843,0.546554,0.08507,0.364951,0.0005,conv,cub
33,4.326273,0.204103,0.555497,0.086772,0.362824,0.0005,conv,cub
34,4.287932,0.201473,0.561284,0.082518,0.381965,0.0005,conv,cub
35,4.25588,0.209363,0.5697,0.083369,0.379838,0.0005,conv,cub
36,4.2169,0.207259,0.578117,0.087622,0.384092,0.0005,conv,cub
37,4.237939,0.219884,0.595476,0.086346,0.373458,0.0005,conv,cub
38,4.176089,0.219884,0.608101,0.084219,0.375585,0.0005,conv,cub
39,4.159758,0.219884,0.60021,0.087622,0.380689,0.0005,conv,cub
40,4.160097,0.222514,0.602841,0.083369,0.385368,0.0005,conv,cub
41,4.159796,0.233035,0.599158,0.078265,0.383667,0.0005,conv,cub
42,4.125549,0.232509,0.607575,0.084219,0.384517,0.0005,conv,cub
43,4.129066,0.229353,0.601789,0.082518,0.377712,0.0005,conv,cub
44,4.116523,0.234087,0.607049,0.084219,0.38154,0.0005,conv,cub
45,4.118812,0.241452,0.611783,0.081667,0.376861,0.0005,conv,cub
46,4.077119,0.241452,0.612309,0.082943,0.380264,0.0005,conv,cub
47,4.089714,0.238822,0.615466,0.082518,0.372182,0.0005,conv,cub
48,4.082451,0.233035,0.613361,0.080391,0.37516,0.0005,conv,cub
49,4.073068,0.239874,0.611257,0.082518,0.374734,0.0005,conv,cub
50,4.062225,0.233035,0.604419,0.082943,0.37516,0.0005,conv,cub
51,4.081684,0.241452,0.607575,0.084645,0.376436,0.0005,conv,cub
52,4.044441,0.237244,0.615992,0.079966,0.37601,0.0005,conv,cub
53,4.04544,0.226723,0.612309,0.084645,0.384943,0.0005,conv,cub
54,4.08285,0.228827,0.612835,0.082943,0.364951,0.0005,conv,cub
55,4.038961,0.233035,0.613887,0.084219,0.371757,0.0005,conv,cub
56,4.018491,0.227775,0.608101,0.085921,0.373458,0.0005,conv,cub
