epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,19.050311,0.022418,0.089672,0.053041,0.309002,0.0005,conv,flowers
2,5.705584,0.031225,0.152122,0.053041,0.330414,0.0005,conv,flowers
3,5.294076,0.041633,0.15052,0.053041,0.330414,0.0005,conv,flowers
4,5.396688,0.031225,0.156125,0.053041,0.330414,0.0005,conv,flowers
5,5.558655,0.031225,0.156125,0.053041,0.330414,0.0005,conv,flowers
6,5.646922,0.031225,0.144916,0.053041,0.330414,0.0005,conv,flowers
7,5.697718,0.031225,0.156926,0.053041,0.330414,0.0005,conv,flowers
8,5.714583,0.031225,0.163331,0.053041,0.330414,0.0005,conv,flowers
9,5.6751,0.051241,0.14972,0.053041,0.359611,0.0005,conv,flowers
10,5.571328,0.044035,0.166533,0.058394,0.330414,0.0005,conv,flowers
11,5.71053,0.020817,0.164932,0.053041,0.316788,0.0005,conv,flowers
12,5.590941,0.01201,0.056845,0.036983,0.208759,0.0005,conv,flowers
13,5.573011,0.040032,0.160929,0.123601,0.384428,0.0005,conv,flowers
14,5.555389,0.041633,0.160128,0.122628,0.330414,0.0005,conv,flowers
15,5.350677,0.047238,0.186549,0.116302,0.330414,0.0005,conv,flowers
16,5.194129,0.05044,0.163331,0.112409,0.330414,0.0005,conv,flowers
17,5.053937,0.020817,0.134508,0.046229,0.293917,0.0005,conv,flowers
18,5.162358,0.04964,0.238591,0.03601,0.210706,0.0005,conv,flowers
19,5.159246,0.038431,0.188151,0.123601,0.353285,0.0005,conv,flowers
20,4.982061,0.073659,0.28743,0.03455,0.355231,0.0005,conv,flowers
21,4.884066,0.065653,0.230584,0.060827,0.342092,0.0005,conv,flowers
22,4.835518,0.05044,0.252202,0.054988,0.256934,0.0005,conv,flowers
23,4.900251,0.064852,0.338671,0.039416,0.29635,0.0005,conv,flowers
24,4.858938,0.109688,0.377102,0.0618,0.26326,0.0005,conv,flowers
25,4.687093,0.101681,0.40032,0.059367,0.218978,0.0005,conv,flowers
26,4.682006,0.132106,0.415532,0.085158,0.284185,0.0005,conv,flowers
27,4.563495,0.132906,0.422738,0.067153,0.214599,0.0005,conv,flowers
28,4.563559,0.139311,0.453163,0.072019,0.237956,0.0005,conv,flowers
29,4.485166,0.145717,0.457966,0.07056,0.248662,0.0005,conv,flowers
30,4.491457,0.139311,0.463571,0.073966,0.247689,0.0005,conv,flowers
31,4.537054,0.144115,0.480384,0.078832,0.238443,0.0005,conv,flowers
32,4.494369,0.15052,0.479584,0.075912,0.239903,0.0005,conv,flowers
33,4.459387,0.144916,0.492394,0.074453,0.23163,0.0005,conv,flowers
34,4.442448,0.153723,0.508407,0.075912,0.239903,0.0005,conv,flowers
35,4.411119,0.159327,0.513211,0.077372,0.243309,0.0005,conv,flowers
36,4.38859,0.158527,0.513211,0.074453,0.242336,0.0005,conv,flowers
37,4.385852,0.164932,0.517214,0.072019,0.243796,0.0005,conv,flowers
38,4.406938,0.168935,0.523619,0.072506,0.251095,0.0005,conv,flowers
39,4.42151,0.17534,0.530024,0.073479,0.246229,0.0005,conv,flowers
40,4.369848,0.168935,0.52522,0.068613,0.244769,0.0005,conv,flowers
41,4.32998,0.184948,0.534027,0.068127,0.259367,0.0005,conv,flowers
42,4.315198,0.171337,0.542034,0.068613,0.252068,0.0005,conv,flowers
43,4.332639,0.196157,0.549239,0.068613,0.26472,0.0005,conv,flowers
44,4.30959,0.176942,0.549239,0.06764,0.246715,0.0005,conv,flowers
45,4.280467,0.214572,0.559648,0.065693,0.247689,0.0005,conv,flowers
46,4.246364,0.194556,0.57486,0.069586,0.23601,0.0005,conv,flowers
47,4.214147,0.215372,0.584468,0.073479,0.241363,0.0005,conv,flowers
48,4.171195,0.215372,0.586869,0.082238,0.245742,0.0005,conv,flowers
49,4.065495,0.222578,0.585268,0.079319,0.236983,0.0005,conv,flowers
50,4.075712,0.230584,0.619696,0.081752,0.247689,0.0005,conv,flowers
