epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,1.001916,0.052471,0.158935,0.060792,0.252649,0.0005,conv,flowers
2,1.04374,0.051711,0.14981,0.060792,0.260457,0.0005,conv,flowers
3,1.023571,0.01597,0.123194,0.060792,0.245399,0.0005,conv,flowers
4,0.988229,0.026616,0.127757,0.060792,0.252649,0.0005,conv,flowers
5,0.980177,0.037262,0.128517,0.060792,0.243168,0.0005,conv,flowers
6,0.985401,0.067681,0.204563,0.047407,0.278862,0.0005,conv,flowers
7,0.976862,0.05019,0.179468,0.060792,0.211935,0.0005,conv,flowers
8,0.977202,0.088213,0.196198,0.068042,0.284997,0.0005,conv,flowers
9,0.963935,0.076806,0.203802,0.08087,0.29894,0.0005,conv,flowers
10,0.97633,0.101141,0.208365,0.072504,0.329615,0.0005,conv,flowers
11,0.956434,0.119392,0.287452,0.067485,0.31121,0.0005,conv,flowers
12,0.956588,0.096578,0.256274,0.060792,0.325153,0.0005,conv,flowers
13,0.950973,0.130798,0.288213,0.086447,0.284997,0.0005,conv,flowers
14,0.958417,0.114068,0.256274,0.06135,0.311768,0.0005,conv,flowers
15,0.976437,0.118631,0.285171,0.083659,0.302287,0.0005,conv,flowers
16,0.956621,0.105703,0.273764,0.066369,0.292805,0.0005,conv,flowers
17,0.969456,0.120913,0.292776,0.086447,0.306191,0.0005,conv,flowers
18,0.938125,0.147529,0.346008,0.083659,0.287786,0.0005,conv,flowers
19,0.93833,0.158175,0.292015,0.060792,0.278305,0.0005,conv,flowers
20,0.934328,0.180228,0.326996,0.071946,0.311768,0.0005,conv,flowers
21,0.936512,0.174905,0.294297,0.076966,0.266592,0.0005,conv,flowers
22,0.936885,0.18327,0.361217,0.065811,0.290017,0.0005,conv,flowers
23,0.9245,0.173384,0.35057,0.065254,0.307864,0.0005,conv,flowers
24,0.920514,0.171103,0.358175,0.087005,0.299498,0.0005,conv,flowers
25,0.923405,0.174905,0.330798,0.070273,0.308979,0.0005,conv,flowers
26,0.91217,0.172624,0.336122,0.078639,0.281093,0.0005,conv,flowers
27,0.909772,0.1673,0.322433,0.080312,0.282209,0.0005,conv,flowers
28,0.908772,0.172624,0.31711,0.077524,0.290574,0.0005,conv,flowers
29,0.909265,0.172624,0.335361,0.0686,0.303402,0.0005,conv,flowers
30,0.907842,0.172624,0.365019,0.066927,0.308422,0.0005,conv,flowers
31,0.903991,0.180228,0.381749,0.066369,0.31121,0.0005,conv,flowers
32,0.903694,0.171863,0.369582,0.068042,0.315672,0.0005,conv,flowers
33,0.902442,0.184791,0.368821,0.065811,0.302844,0.0005,conv,flowers
34,0.902619,0.177947,0.36654,0.069158,0.30396,0.0005,conv,flowers
35,0.901499,0.186312,0.361977,0.066927,0.283324,0.0005,conv,flowers
36,0.901745,0.186312,0.362738,0.065254,0.293363,0.0005,conv,flowers
37,0.899904,0.187833,0.368061,0.066369,0.288901,0.0005,conv,flowers
38,0.899751,0.186312,0.365779,0.066369,0.284439,0.0005,conv,flowers
39,0.899356,0.184791,0.34981,0.064138,0.274958,0.0005,conv,flowers
40,0.899833,0.187833,0.358935,0.066927,0.276074,0.0005,conv,flowers
41,0.898519,0.184791,0.358935,0.066927,0.268265,0.0005,conv,flowers
42,0.899334,0.179468,0.356654,0.070273,0.282766,0.0005,conv,flowers
43,0.898348,0.181749,0.356654,0.065254,0.266592,0.0005,conv,flowers
44,0.898244,0.187833,0.358935,0.071946,0.276631,0.0005,conv,flowers
45,0.897664,0.188593,0.361977,0.067485,0.281093,0.0005,conv,flowers
46,0.897351,0.187072,0.355133,0.065811,0.273843,0.0005,conv,flowers
47,0.896853,0.186312,0.361217,0.063023,0.269939,0.0005,conv,flowers
48,0.896109,0.186312,0.359696,0.063023,0.268823,0.0005,conv,flowers
49,0.895076,0.187072,0.362738,0.060234,0.281093,0.0005,conv,flowers
50,0.895851,0.186312,0.362738,0.066927,0.277747,0.0005,conv,flowers
51,0.895332,0.188593,0.361217,0.067485,0.293363,0.0005,conv,flowers
52,0.89344,0.189354,0.365019,0.065811,0.295036,0.0005,conv,flowers
53,0.893782,0.185551,0.362738,0.064696,0.288344,0.0005,conv,flowers
54,0.893771,0.187072,0.361217,0.061907,0.292248,0.0005,conv,flowers
55,0.892837,0.184791,0.340684,0.063023,0.290574,0.0005,conv,flowers
56,0.893607,0.184791,0.355894,0.060792,0.288344,0.0005,conv,flowers
57,0.892348,0.186312,0.358935,0.064696,0.303402,0.0005,conv,flowers
58,0.894274,0.180989,0.351331,0.065811,0.302844,0.0005,conv,flowers
59,0.891352,0.181749,0.349049,0.062465,0.292248,0.0005,conv,flowers
60,0.892209,0.18403,0.354373,0.068042,0.295594,0.0005,conv,flowers
61,0.891317,0.18251,0.359696,0.065811,0.305075,0.0005,conv,flowers
62,0.890116,0.188593,0.361217,0.064696,0.31121,0.0005,conv,flowers
63,0.890022,0.184791,0.356654,0.065811,0.315672,0.0005,conv,flowers
64,0.889259,0.188593,0.359696,0.063023,0.317903,0.0005,conv,flowers
65,0.887562,0.188593,0.355894,0.061907,0.322365,0.0005,conv,flowers
66,0.886364,0.187072,0.364259,0.064696,0.322365,0.0005,conv,flowers
67,0.885608,0.193156,0.3673,0.062465,0.3285,0.0005,conv,flowers
68,0.884613,0.194677,0.361217,0.064696,0.327942,0.0005,conv,flowers
69,0.883866,0.190114,0.358175,0.066369,0.324038,0.0005,conv,flowers
