epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,20.585484,0.021293,0.059316,0.060792,0.307306,0.0005,conv,flowers
2,4.744858,0.039544,0.130798,0.061907,0.307306,0.0005,conv,flowers
3,2.873814,0.01749,0.080608,0.022867,0.307306,0.0005,conv,flowers
4,2.522878,0.008365,0.125475,0.022867,0.307306,0.0005,conv,flowers
5,2.593321,0.013688,0.111787,0.022867,0.307306,0.0005,conv,flowers
6,2.513368,0.009125,0.077567,0.022867,0.307306,0.0005,conv,flowers
7,2.633495,0.01673,0.098099,0.022867,0.307306,0.0005,conv,flowers
8,2.481308,0.009886,0.085932,0.022867,0.307306,0.0005,conv,flowers
9,2.640471,0.01749,0.088973,0.022867,0.307306,0.0005,conv,flowers
10,2.489454,0.040304,0.114068,0.022867,0.307306,0.0005,conv,flowers
11,2.573425,0.019011,0.086692,0.022867,0.322365,0.0005,conv,flowers
12,2.595365,0.028897,0.085171,0.022867,0.3285,0.0005,conv,flowers
13,2.747881,0.039544,0.123954,0.022867,0.288901,0.0005,conv,flowers
14,3.1211,0.01749,0.077567,0.022309,0.327942,0.0005,conv,flowers
15,2.36824,0.034981,0.15057,0.022309,0.355828,0.0005,conv,flowers
16,2.267832,0.041825,0.118631,0.022867,0.353597,0.0005,conv,flowers
17,2.286884,0.067681,0.18251,0.023424,0.331846,0.0005,conv,flowers
18,2.260039,0.069962,0.177947,0.022867,0.345789,0.0005,conv,flowers
19,2.299328,0.076046,0.223574,0.056888,0.331846,0.0005,conv,flowers
20,2.226437,0.068441,0.203042,0.032906,0.338539,0.0005,conv,flowers
21,2.29182,0.069962,0.198479,0.103737,0.33575,0.0005,conv,flowers
22,2.220316,0.067681,0.209886,0.050195,0.353597,0.0005,conv,flowers
23,2.2183,0.070722,0.255513,0.079197,0.363079,0.0005,conv,flowers
24,2.211731,0.063878,0.235741,0.084216,0.369771,0.0005,conv,flowers
25,2.307362,0.069202,0.193916,0.113218,0.36531,0.0005,conv,flowers
26,2.197401,0.08289,0.236502,0.076966,0.376464,0.0005,conv,flowers
27,2.316214,0.040304,0.20076,0.106525,0.386503,0.0005,conv,flowers
28,2.21183,0.071483,0.201521,0.104294,0.40937,0.0005,conv,flowers
29,2.218112,0.085171,0.261597,0.107641,0.370329,0.0005,conv,flowers
30,2.205018,0.094297,0.296578,0.122142,0.369771,0.0005,conv,flowers
31,2.21599,0.098859,0.306464,0.129392,0.365867,0.0005,conv,flowers
32,2.187987,0.111027,0.336882,0.089794,0.388734,0.0005,conv,flowers
33,2.222552,0.10038,0.330798,0.089794,0.385945,0.0005,conv,flowers
34,2.188509,0.114829,0.359696,0.095929,0.38483,0.0005,conv,flowers
35,2.232759,0.094297,0.297338,0.12493,0.369771,0.0005,conv,flowers
36,2.194009,0.121673,0.3673,0.072504,0.389849,0.0005,conv,flowers
37,2.200754,0.121673,0.371863,0.074177,0.393196,0.0005,conv,flowers
38,2.170051,0.126236,0.398479,0.065254,0.394869,0.0005,conv,flowers
39,2.237434,0.095057,0.307224,0.081428,0.381484,0.0005,conv,flowers
40,2.175619,0.114829,0.368061,0.052426,0.388176,0.0005,conv,flowers
41,2.210404,0.122433,0.377186,0.07362,0.407139,0.0005,conv,flowers
42,2.162564,0.138403,0.415209,0.066369,0.37981,0.0005,conv,flowers
43,2.185809,0.111787,0.358175,0.061907,0.370887,0.0005,conv,flowers
44,2.22396,0.103422,0.358175,0.051868,0.374791,0.0005,conv,flowers
45,2.185645,0.156654,0.425856,0.047407,0.363079,0.0005,conv,flowers
46,2.16853,0.144487,0.423574,0.050195,0.368656,0.0005,conv,flowers
47,2.156091,0.14981,0.413688,0.054099,0.385388,0.0005,conv,flowers
48,2.228485,0.123194,0.388593,0.046291,0.334635,0.0005,conv,flowers
49,2.151585,0.172624,0.443346,0.052984,0.335192,0.0005,conv,flowers
50,2.166184,0.165019,0.441825,0.057446,0.327942,0.0005,conv,flowers
51,2.163048,0.14981,0.434981,0.054099,0.321807,0.0005,conv,flowers
52,2.141669,0.177947,0.470722,0.063023,0.321807,0.0005,conv,flowers
53,2.133454,0.181749,0.478327,0.064696,0.341327,0.0005,conv,flowers
54,2.151405,0.173384,0.46692,0.071946,0.350809,0.0005,conv,flowers
55,2.167302,0.168061,0.447148,0.071946,0.327942,0.0005,conv,flowers
56,2.165351,0.178707,0.492776,0.081428,0.335192,0.0005,conv,flowers
57,2.12275,0.176426,0.481369,0.070273,0.309537,0.0005,conv,flowers
58,2.139538,0.178707,0.489734,0.085332,0.357501,0.0005,conv,flowers
59,2.11113,0.203042,0.51635,0.090909,0.345789,0.0005,conv,flowers
60,2.11359,0.193916,0.524715,0.096486,0.341885,0.0005,conv,flowers
61,2.117359,0.206844,0.505703,0.100948,0.352482,0.0005,conv,flowers
62,2.115545,0.202281,0.535361,0.106525,0.406581,0.0005,conv,flowers
63,2.145088,0.186312,0.507224,0.097044,0.365867,0.0005,conv,flowers
64,2.084442,0.194677,0.526236,0.08812,0.334077,0.0005,conv,flowers
65,2.169188,0.177947,0.506464,0.090351,0.352482,0.0005,conv,flowers
66,2.101515,0.210646,0.523954,0.099833,0.366983,0.0005,conv,flowers
67,2.083739,0.222814,0.539924,0.104294,0.365867,0.0005,conv,flowers
68,2.067815,0.195437,0.552852,0.121584,0.364752,0.0005,conv,flowers
69,2.121222,0.197719,0.521673,0.099275,0.3285,0.0005,conv,flowers
