epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,73.663486,0.005073,0.025364,,,0.0001,fc,cub
2,9.187453,0.005073,0.025364,,,0.0001,fc,cub
3,7.516282,0.005073,0.024349,,,0.0001,fc,cub
4,7.148693,0.005073,0.024518,,,0.0001,fc,cub
5,6.969995,0.005073,0.025364,,,0.0001,fc,cub
6,6.890954,0.005073,0.026716,,,0.0001,fc,cub
7,6.841492,0.005073,0.025364,,,0.0001,fc,cub
8,6.797738,0.009131,0.025364,,,0.0001,fc,cub
9,6.758094,0.005073,0.027562,,,0.0001,fc,cub
10,6.718545,0.007778,0.025364,,,0.0001,fc,cub
11,6.679952,0.005242,0.025364,,,0.0001,fc,cub
12,6.641033,0.009469,0.029422,,,0.0001,fc,cub
13,6.608899,0.00558,0.025364,,,0.0001,fc,cub
14,6.578721,0.006933,0.025364,,,0.0001,fc,cub
15,6.55002,0.005411,0.025364,,,0.0001,fc,cub
16,6.525494,0.005073,0.025364,,,0.0001,fc,cub
17,6.503157,0.008793,0.025364,,,0.0001,fc,cub
18,6.484591,0.008116,0.025364,,,0.0001,fc,cub
19,6.468228,0.005073,0.025364,,,0.0001,fc,cub
20,6.450622,0.008793,0.031282,,,0.0001,fc,cub
21,6.440796,0.005073,0.034156,,,0.0001,fc,cub
22,6.425941,0.011498,0.036862,,,0.0001,fc,cub
23,6.41384,0.010315,0.049036,,,0.0001,fc,cub
24,6.400517,0.011498,0.066791,,,0.0001,fc,cub
25,6.385609,0.021813,0.07254,,,0.0001,fc,cub
26,6.356725,0.026547,0.081332,,,0.0001,fc,cub
27,6.301923,0.021813,0.097058,,,0.0001,fc,cub
28,6.165581,0.023842,0.108725,,,0.0001,fc,cub
29,5.934686,0.023673,0.127832,,,0.0001,fc,cub
30,5.733453,0.034494,0.158607,,,0.0001,fc,cub
31,5.570277,0.042442,0.191748,,,0.0001,fc,cub
32,5.425248,0.048698,0.205614,,,0.0001,fc,cub
33,5.298789,0.059689,0.239432,,,0.0001,fc,cub
34,5.17225,0.069158,0.248055,,,0.0001,fc,cub
35,5.074916,0.06882,0.264795,,,0.0001,fc,cub
36,4.98744,0.073216,0.283226,,,0.0001,fc,cub
