epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,48.879589,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
2,8.682865,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
3,7.393433,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
4,7.185371,0.006312,0.031562,0.025521,0.131859,0.0001,fc,cub
5,7.105354,0.006312,0.035245,0.025521,0.119098,0.0001,fc,cub
6,7.051015,0.006312,0.031562,0.025521,0.119098,0.0001,fc,cub
7,7.000562,0.006312,0.031562,0.025521,0.119098,0.0001,fc,cub
8,6.954475,0.006312,0.031562,0.025521,0.119098,0.0001,fc,cub
9,6.91274,0.006312,0.033666,0.025521,0.119098,0.0001,fc,cub
10,6.874673,0.007365,0.036823,0.025521,0.119098,0.0001,fc,cub
11,6.838507,0.006312,0.038401,0.025521,0.119098,0.0001,fc,cub
12,6.799739,0.012625,0.048396,0.02467,0.119098,0.0001,fc,cub
13,6.747193,0.017359,0.094687,0.031476,0.13909,0.0001,fc,cub
14,6.619923,0.023146,0.118359,0.03658,0.143769,0.0001,fc,cub
15,6.325283,0.032614,0.138348,0.034879,0.207571,0.0001,fc,cub
16,6.055479,0.048396,0.193582,0.032752,0.256912,0.0001,fc,cub
17,5.796297,0.056286,0.247238,0.058698,0.286261,0.0001,fc,cub
18,5.509816,0.074698,0.291952,0.063803,0.313058,0.0001,fc,cub
19,5.299712,0.088901,0.332457,0.070183,0.325393,0.0001,fc,cub
20,5.152799,0.10363,0.365597,0.072735,0.323267,0.0001,fc,cub
21,5.028374,0.118359,0.397159,0.068481,0.317312,0.0001,fc,cub
22,4.911338,0.117307,0.43293,0.067631,0.311357,0.0001,fc,cub
23,4.806429,0.127827,0.443451,0.06678,0.312208,0.0001,fc,cub
24,4.713407,0.130984,0.467123,0.068481,0.32114,0.0001,fc,cub
25,4.652431,0.140978,0.470805,0.067631,0.324968,0.0001,fc,cub
26,4.577172,0.150447,0.493425,0.069758,0.329647,0.0001,fc,cub
27,4.515808,0.154129,0.506049,0.068481,0.336453,0.0001,fc,cub
28,4.461226,0.16202,0.518674,0.071034,0.337303,0.0001,fc,cub
29,4.409094,0.174645,0.514466,0.071034,0.341557,0.0001,fc,cub
30,4.363702,0.177275,0.525513,0.070183,0.340706,0.0001,fc,cub
31,4.31839,0.186744,0.542346,0.070608,0.344534,0.0001,fc,cub
32,4.271732,0.1899,0.545502,0.070608,0.346661,0.0001,fc,cub
33,4.228825,0.20989,0.568122,0.071884,0.346661,0.0001,fc,cub
34,4.176711,0.216202,0.568122,0.071884,0.345385,0.0001,fc,cub
35,4.125008,0.229353,0.58969,0.071884,0.34496,0.0001,fc,cub
36,4.066149,0.244608,0.590216,0.072735,0.351765,0.0001,fc,cub
37,4.009147,0.257759,0.618096,0.074011,0.348788,0.0001,fc,cub
38,3.937987,0.277223,0.629143,0.075287,0.350915,0.0001,fc,cub
39,3.85629,0.292478,0.64545,0.078265,0.352616,0.0001,fc,cub
40,3.769144,0.307207,0.664913,0.079966,0.353041,0.0001,fc,cub
