epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,44.835033,0.016752,0.05244,,,0.0001,fc,flowers
2,8.453566,0.016752,0.05244,,,0.0001,fc,flowers
3,6.22863,0.016752,0.05244,,,0.0001,fc,flowers
4,5.876862,0.016752,0.100024,,,0.0001,fc,flowers
5,5.539994,0.016752,0.122117,,,0.0001,fc,flowers
6,5.553422,0.03059,0.126001,,,0.0001,fc,flowers
7,5.510207,0.03059,0.126001,,,0.0001,fc,flowers
8,5.520878,0.03059,0.127701,,,0.0001,fc,flowers
9,5.508526,0.03059,0.127701,,,0.0001,fc,flowers
10,5.511225,0.03059,0.127701,,,0.0001,fc,flowers
11,5.507421,0.034474,0.127944,,,0.0001,fc,flowers
12,5.52198,0.03059,0.127701,,,0.0001,fc,flowers
13,5.507088,0.05074,0.132071,,,0.0001,fc,flowers
14,5.498659,0.031318,0.143239,,,0.0001,fc,flowers
15,5.49802,0.054868,0.131828,,,0.0001,fc,flowers
16,5.499598,0.031318,0.133285,,,0.0001,fc,flowers
17,5.501122,0.031804,0.145666,,,0.0001,fc,flowers
18,5.491415,0.031318,0.145181,,,0.0001,fc,flowers
19,5.491658,0.031318,0.14421,,,0.0001,fc,flowers
20,5.494189,0.031318,0.151008,,,0.0001,fc,flowers
21,5.487805,0.031318,0.132799,,,0.0001,fc,flowers
22,5.483952,0.031318,0.13377,,,0.0001,fc,flowers
23,5.478766,0.031318,0.131828,,,0.0001,fc,flowers
24,5.48102,0.031318,0.147851,,,0.0001,fc,flowers
25,5.484173,0.031318,0.149065,,,0.0001,fc,flowers
26,5.492697,0.031318,0.151493,,,0.0001,fc,flowers
27,5.488333,0.052197,0.151008,,,0.0001,fc,flowers
28,5.482067,0.031318,0.151008,,,0.0001,fc,flowers
29,5.476184,0.038844,0.14688,,,0.0001,fc,flowers
30,5.474883,0.036659,0.150036,,,0.0001,fc,flowers
31,5.465597,0.038116,0.150036,,,0.0001,fc,flowers
32,5.457553,0.047584,0.151493,,,0.0001,fc,flowers
33,5.452231,0.057053,0.167516,,,0.0001,fc,flowers
34,5.448701,0.054868,0.174314,,,0.0001,fc,flowers
35,5.431546,0.062637,0.176499,,,0.0001,fc,flowers
36,5.394643,0.067249,0.186453,,,0.0001,fc,flowers
37,5.35948,0.073804,0.202476,,,0.0001,fc,flowers
38,5.304021,0.084001,0.227968,,,0.0001,fc,flowers
39,5.210028,0.095654,0.256616,,,0.0001,fc,flowers
40,5.09989,0.10755,0.294003,,,0.0001,fc,flowers
41,5.006581,0.112891,0.332362,,,0.0001,fc,flowers
42,4.907679,0.112891,0.354698,,,0.0001,fc,flowers
43,4.859687,0.120175,0.374363,,,0.0001,fc,flowers
44,4.772486,0.12503,0.394513,,,0.0001,fc,flowers
45,4.706688,0.128429,0.401311,,,0.0001,fc,flowers
46,4.628454,0.131585,0.410051,,,0.0001,fc,flowers
47,4.619722,0.137655,0.41612,,,0.0001,fc,flowers
48,4.559681,0.137898,0.432144,,,0.0001,fc,flowers
49,4.528839,0.14251,0.436756,,,0.0001,fc,flowers
50,4.45999,0.145909,0.448167,,,0.0001,fc,flowers
51,4.41663,0.148094,0.45108,,,0.0001,fc,flowers
