epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,33.320326,0.022418,0.06245,0.053041,0.321168,0.0001,fc,flowers
2,6.506065,0.022418,0.06245,0.053041,0.321168,0.0001,fc,flowers
3,5.472879,0.022418,0.095276,0.053041,0.267153,0.0001,fc,flowers
4,5.393532,0.022418,0.152922,0.053041,0.267153,0.0001,fc,flowers
5,5.320494,0.041633,0.151321,0.053041,0.309002,0.0001,fc,flowers
6,5.309743,0.041633,0.145717,0.053041,0.309002,0.0001,fc,flowers
7,5.310792,0.041633,0.153723,0.053041,0.309002,0.0001,fc,flowers
8,5.312799,0.041633,0.151321,0.053041,0.309002,0.0001,fc,flowers
9,5.314795,0.041633,0.14972,0.053041,0.309002,0.0001,fc,flowers
10,5.312152,0.041633,0.14972,0.053041,0.309002,0.0001,fc,flowers
11,5.331005,0.041633,0.166533,0.053041,0.309002,0.0001,fc,flowers
12,5.316234,0.041633,0.160929,0.053041,0.309002,0.0001,fc,flowers
13,5.315202,0.041633,0.17534,0.053041,0.309002,0.0001,fc,flowers
14,5.311883,0.041633,0.17534,0.053041,0.309002,0.0001,fc,flowers
15,5.315102,0.041633,0.172938,0.053041,0.309002,0.0001,fc,flowers
16,5.320222,0.041633,0.17454,0.053041,0.309002,0.0001,fc,flowers
17,5.321771,0.041633,0.17454,0.053041,0.309002,0.0001,fc,flowers
18,5.326427,0.041633,0.17454,0.053041,0.309002,0.0001,fc,flowers
19,5.317329,0.041633,0.176141,0.053041,0.309002,0.0001,fc,flowers
20,5.305094,0.041633,0.176942,0.053041,0.309002,0.0001,fc,flowers
21,5.287277,0.041633,0.176141,0.053041,0.309002,0.0001,fc,flowers
22,5.283512,0.041633,0.183347,0.053041,0.309002,0.0001,fc,flowers
23,5.284387,0.041633,0.185749,0.053041,0.309002,0.0001,fc,flowers
24,5.271084,0.053643,0.198559,0.053041,0.309002,0.0001,fc,flowers
25,5.236295,0.073659,0.23779,0.053041,0.309489,0.0001,fc,flowers
26,5.158788,0.072058,0.271417,0.053041,0.314842,0.0001,fc,flowers
27,5.065018,0.082466,0.293835,0.053041,0.296837,0.0001,fc,flowers
28,4.954647,0.097678,0.294636,0.053041,0.337226,0.0001,fc,flowers
29,4.875701,0.092874,0.30024,0.053528,0.362044,0.0001,fc,flowers
30,4.82217,0.096878,0.322658,0.06326,0.350852,0.0001,fc,flowers
31,4.767251,0.10008,0.351481,0.06764,0.335766,0.0001,fc,flowers
32,4.682752,0.104083,0.373098,0.073479,0.33382,0.0001,fc,flowers
33,4.625008,0.120096,0.404323,0.075426,0.337226,0.0001,fc,flowers
34,4.578307,0.119295,0.426741,0.075426,0.339659,0.0001,fc,flowers
35,4.502843,0.136109,0.439552,0.074939,0.338686,0.0001,fc,flowers
36,4.465303,0.142514,0.446757,0.0691,0.339659,0.0001,fc,flowers
37,4.387194,0.148919,0.469175,0.072506,0.339659,0.0001,fc,flowers
38,4.379319,0.148919,0.482786,0.066667,0.345499,0.0001,fc,flowers
39,4.314186,0.156125,0.493195,0.068127,0.348418,0.0001,fc,flowers
40,4.285676,0.160929,0.508407,0.069586,0.348905,0.0001,fc,flowers
41,4.212107,0.163331,0.518815,0.068613,0.356204,0.0001,fc,flowers
42,4.187121,0.172938,0.529223,0.068613,0.353771,0.0001,fc,flowers
43,4.138651,0.178543,0.548439,0.071046,0.358151,0.0001,fc,flowers
44,4.1145,0.186549,0.557246,0.07056,0.355231,0.0001,fc,flowers
45,4.058055,0.197758,0.572458,0.072019,0.359611,0.0001,fc,flowers
46,4.021235,0.206565,0.582866,0.071046,0.357178,0.0001,fc,flowers
47,3.963778,0.209768,0.598078,0.07056,0.354258,0.0001,fc,flowers
48,3.922666,0.226581,0.616493,0.069586,0.348905,0.0001,fc,flowers
49,3.87015,0.241793,0.623699,0.07056,0.348905,0.0001,fc,flowers
50,3.835529,0.256205,0.640512,0.070073,0.342579,0.0001,fc,flowers
51,3.788426,0.27462,0.652522,0.07056,0.339173,0.0001,fc,flowers
52,3.716746,0.298639,0.666934,0.07056,0.33528,0.0001,fc,flowers
53,3.660942,0.309047,0.682946,0.071046,0.333333,0.0001,fc,flowers
