epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.093606,0.006312,0.03051,0.025521,0.114845,0.0005,fc+conv,cub
2,6.430231,0.006312,0.037349,0.025521,0.119098,0.0005,fc+conv,cub
3,6.280466,0.014203,0.044187,0.025521,0.119098,0.0005,fc+conv,cub
4,6.235181,0.009469,0.046817,0.033177,0.115695,0.0005,fc+conv,cub
5,6.203119,0.020516,0.062073,0.031051,0.117397,0.0005,fc+conv,cub
6,6.147952,0.012099,0.071015,0.028924,0.151,0.0005,fc+conv,cub
7,5.817844,0.026302,0.1394,0.042535,0.228839,0.0005,fc+conv,cub
8,5.540814,0.041031,0.16728,0.057422,0.249256,0.0005,fc+conv,cub
9,5.360786,0.048396,0.206207,0.065504,0.254785,0.0005,fc+conv,cub
10,5.200104,0.073119,0.286691,0.071884,0.275627,0.0005,fc+conv,cub
11,4.918199,0.100999,0.366123,0.071884,0.311782,0.0005,fc+conv,cub
12,4.608558,0.149921,0.46607,0.075287,0.323692,0.0005,fc+conv,cub
13,4.29451,0.176749,0.538664,0.07231,0.321991,0.0005,fc+conv,cub
14,4.077712,0.221462,0.588638,0.074436,0.324543,0.0005,fc+conv,cub
15,3.85968,0.254077,0.625986,0.079966,0.335177,0.0005,fc+conv,cub
16,3.649917,0.270384,0.644924,0.092301,0.339855,0.0005,fc+conv,cub
17,3.509898,0.297212,0.68122,0.100383,0.346661,0.0005,fc+conv,cub
18,3.343186,0.328774,0.70647,0.100808,0.355593,0.0005,fc+conv,cub
19,3.124764,0.360863,0.726986,0.105912,0.374734,0.0005,fc+conv,cub
20,2.923876,0.391899,0.752762,0.106338,0.396002,0.0005,fc+conv,cub
21,2.746521,0.414519,0.774855,0.108464,0.398979,0.0005,fc+conv,cub
22,2.583777,0.439769,0.78748,0.106763,0.412165,0.0005,fc+conv,cub
23,2.433841,0.457128,0.803787,0.109315,0.422799,0.0005,fc+conv,cub
24,2.33299,0.468701,0.815886,0.115695,0.440664,0.0005,fc+conv,cub
25,2.161697,0.492372,0.825881,0.126329,0.449596,0.0005,fc+conv,cub
26,2.032353,0.500789,0.833772,0.122076,0.452148,0.0005,fc+conv,cub
27,2.00495,0.510258,0.838506,0.125904,0.46023,0.0005,fc+conv,cub
28,1.872099,0.516044,0.843766,0.129732,0.467461,0.0005,fc+conv,cub
29,1.748766,0.53393,0.845871,0.130157,0.472565,0.0005,fc+conv,cub
30,1.649492,0.521305,0.846397,0.131433,0.477244,0.0005,fc+conv,cub
31,1.564556,0.542346,0.845871,0.123777,0.465334,0.0005,fc+conv,cub
32,1.478551,0.537612,0.854287,0.128881,0.46661,0.0005,fc+conv,cub
33,1.396611,0.543924,0.855339,0.133135,0.467886,0.0005,fc+conv,cub
34,1.348094,0.540242,0.853761,0.134411,0.468311,0.0005,fc+conv,cub
35,1.245948,0.558127,0.853235,0.129307,0.469162,0.0005,fc+conv,cub
36,1.177161,0.543924,0.864282,0.129307,0.468311,0.0005,fc+conv,cub
37,1.121281,0.547607,0.857969,0.131008,0.458954,0.0005,fc+conv,cub
38,1.025296,0.557075,0.861126,0.132284,0.47299,0.0005,fc+conv,cub
39,0.967463,0.556023,0.857969,0.132709,0.468737,0.0005,fc+conv,cub
40,0.910119,0.547607,0.859548,0.131859,0.46661,0.0005,fc+conv,cub
41,0.848375,0.552341,0.855339,0.128031,0.461506,0.0005,fc+conv,cub
42,0.78199,0.554971,0.860074,0.131008,0.469162,0.0005,fc+conv,cub
43,0.799737,0.558653,0.854287,0.128031,0.455125,0.0005,fc+conv,cub
44,0.707725,0.550763,0.854287,0.129732,0.468311,0.0005,fc+conv,cub
45,0.62643,0.542346,0.853235,0.134411,0.464909,0.0005,fc+conv,cub
46,0.568297,0.558653,0.851657,0.130583,0.461931,0.0005,fc+conv,cub
47,0.583969,0.552341,0.852709,0.13356,0.461931,0.0005,fc+conv,cub
48,0.505315,0.558653,0.845345,0.132284,0.461506,0.0005,fc+conv,cub
49,0.450793,0.552867,0.844292,0.134411,0.463632,0.0005,fc+conv,cub
50,0.435212,0.546028,0.849027,0.138664,0.466185,0.0005,fc+conv,cub
51,0.383964,0.543398,0.848501,0.136963,0.463632,0.0005,fc+conv,cub
52,0.344222,0.553919,0.850605,0.136963,0.462356,0.0005,fc+conv,cub
53,0.305856,0.555497,0.850079,0.137388,0.463207,0.0005,fc+conv,cub
54,0.272666,0.553393,0.849553,0.136538,0.455551,0.0005,fc+conv,cub
55,0.274551,0.545502,0.849553,0.136112,0.46108,0.0005,fc+conv,cub
56,0.254998,0.556023,0.847975,0.140366,0.459804,0.0005,fc+conv,cub
57,0.229064,0.545502,0.849027,0.140366,0.457252,0.0005,fc+conv,cub
58,0.196902,0.550237,0.846397,0.138239,0.458103,0.0005,fc+conv,cub
59,0.179562,0.550763,0.850605,0.136112,0.457252,0.0005,fc+conv,cub
60,0.163907,0.548659,0.846397,0.13909,0.464058,0.0005,fc+conv,cub
61,0.155078,0.547607,0.849553,0.139515,0.456402,0.0005,fc+conv,cub
62,0.136304,0.545502,0.84061,0.142067,0.458528,0.0005,fc+conv,cub
63,0.125262,0.54708,0.84324,0.145895,0.458954,0.0005,fc+conv,cub
64,0.104239,0.543398,0.843766,0.138664,0.452573,0.0005,fc+conv,cub
65,0.089003,0.548659,0.842188,0.142493,0.457678,0.0005,fc+conv,cub
66,0.075673,0.54445,0.844819,0.143769,0.457252,0.0005,fc+conv,cub
67,0.064771,0.549185,0.842714,0.145045,0.458954,0.0005,fc+conv,cub
68,0.053502,0.548659,0.84324,0.141642,0.457252,0.0005,fc+conv,cub
69,0.049394,0.548133,0.842714,0.140366,0.4547,0.0005,fc+conv,cub
70,0.042964,0.546554,0.844292,0.141217,0.453849,0.0005,fc+conv,cub
71,0.038664,0.549711,0.84061,0.141217,0.455551,0.0005,fc+conv,cub
72,0.034626,0.550237,0.841136,0.143343,0.456402,0.0005,fc+conv,cub
73,0.035799,0.549185,0.84324,0.141642,0.453424,0.0005,fc+conv,cub
74,0.029339,0.546554,0.842714,0.142067,0.452999,0.0005,fc+conv,cub
75,0.026634,0.550237,0.839558,0.140791,0.450021,0.0005,fc+conv,cub
76,0.025966,0.545502,0.844292,0.142918,0.451723,0.0005,fc+conv,cub
77,0.021773,0.545502,0.841136,0.141642,0.450872,0.0005,fc+conv,cub
78,0.019593,0.546028,0.841662,0.143769,0.451723,0.0005,fc+conv,cub
79,0.018571,0.543398,0.842188,0.143343,0.448745,0.0005,fc+conv,cub
80,0.019537,0.546028,0.839032,0.143769,0.457678,0.0005,fc+conv,cub
81,0.018524,0.54445,0.843766,0.144194,0.449596,0.0005,fc+conv,cub
82,0.016898,0.548659,0.83798,0.143769,0.447044,0.0005,fc+conv,cub
83,0.016419,0.544976,0.835876,0.143343,0.452999,0.0005,fc+conv,cub
