epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,31.015074,0.004058,0.025364,,,0.0005,fc+conv,cub
2,7.277154,0.005411,0.025533,,,0.0005,fc+conv,cub
3,6.664471,0.00558,0.027054,,,0.0005,fc+conv,cub
4,6.56468,0.00558,0.026885,,,0.0005,fc+conv,cub
5,6.519977,0.006256,0.029253,,,0.0005,fc+conv,cub
6,6.481708,0.008116,0.039567,,,0.0005,fc+conv,cub
7,6.448542,0.013358,0.063409,,,0.0005,fc+conv,cub
8,6.317144,0.018262,0.086236,,,0.0005,fc+conv,cub
9,5.957674,0.030774,0.136794,,,0.0005,fc+conv,cub
10,5.634196,0.049882,0.185323,,,0.0005,fc+conv,cub
11,5.406239,0.060196,0.230639,,,0.0005,fc+conv,cub
12,5.221291,0.068651,0.261921,,,0.0005,fc+conv,cub
13,5.059951,0.076767,0.298444,,,0.0005,fc+conv,cub
14,4.89529,0.097734,0.34393,,,0.0005,fc+conv,cub
15,4.731854,0.116672,0.401759,,,0.0005,fc+conv,cub
16,4.523082,0.135441,0.436253,,,0.0005,fc+conv,cub
17,4.379995,0.149645,0.4628,,,0.0005,fc+conv,cub
18,4.354251,0.166723,0.510991,,,0.0005,fc+conv,cub
19,4.072363,0.186845,0.53162,,,0.0005,fc+conv,cub
20,3.962295,0.212546,0.567467,,,0.0005,fc+conv,cub
21,3.792796,0.233006,0.595367,,,0.0005,fc+conv,cub
22,3.640061,0.255665,0.615489,,,0.0005,fc+conv,cub
23,3.461993,0.272235,0.63578,,,0.0005,fc+conv,cub
24,3.414915,0.289144,0.652012,,,0.0005,fc+conv,cub
25,3.250738,0.314846,0.673656,,,0.0005,fc+conv,cub
26,3.12353,0.314339,0.680758,,,0.0005,fc+conv,cub
27,3.146175,0.330572,0.694792,,,0.0005,fc+conv,cub
28,2.942947,0.335644,0.69885,,,0.0005,fc+conv,cub
29,2.840256,0.349341,0.718803,,,0.0005,fc+conv,cub
30,2.73713,0.368617,0.726581,,,0.0005,fc+conv,cub
31,2.634994,0.387893,0.738586,,,0.0005,fc+conv,cub
32,2.521333,0.398715,0.751945,,,0.0005,fc+conv,cub
33,2.409964,0.41072,0.757525,,,0.0005,fc+conv,cub
34,2.372388,0.428813,0.767501,,,0.0005,fc+conv,cub
35,2.192755,0.435746,0.774603,,,0.0005,fc+conv,cub
36,2.120463,0.444877,0.77697,,,0.0005,fc+conv,cub
37,2.022464,0.460433,0.78627,,,0.0005,fc+conv,cub
38,1.922582,0.458573,0.790666,,,0.0005,fc+conv,cub
39,1.842731,0.465506,0.792864,,,0.0005,fc+conv,cub
40,1.775421,0.472607,0.798275,,,0.0005,fc+conv,cub
41,1.682269,0.473453,0.796584,,,0.0005,fc+conv,cub
42,1.610439,0.481231,0.803855,,,0.0005,fc+conv,cub
43,1.659198,0.483767,0.797768,,,0.0005,fc+conv,cub
44,1.489596,0.48512,0.80115,,,0.0005,fc+conv,cub
45,1.454213,0.487656,0.802503,,,0.0005,fc+conv,cub
46,1.348809,0.491884,0.803517,,,0.0005,fc+conv,cub
47,1.293399,0.490531,0.804024,,,0.0005,fc+conv,cub
48,1.201235,0.496618,0.802164,,,0.0005,fc+conv,cub
49,1.125082,0.497125,0.80487,,,0.0005,fc+conv,cub
50,1.074789,0.494251,0.800473,,,0.0005,fc+conv,cub
51,1.021653,0.499831,0.804193,,,0.0005,fc+conv,cub
52,0.971594,0.496111,0.805884,,,0.0005,fc+conv,cub
53,0.946512,0.492898,0.804701,,,0.0005,fc+conv,cub
54,0.872912,0.499493,0.804193,,,0.0005,fc+conv,cub
55,0.804555,0.497633,0.808252,,,0.0005,fc+conv,cub
56,0.793194,0.500845,0.805546,,,0.0005,fc+conv,cub
57,0.75308,0.496111,0.800473,,,0.0005,fc+conv,cub
58,0.703184,0.498478,0.801319,,,0.0005,fc+conv,cub
59,0.653991,0.496449,0.800304,,,0.0005,fc+conv,cub
60,0.605001,0.502875,0.80301,,,0.0005,fc+conv,cub
61,0.549545,0.497464,0.798106,,,0.0005,fc+conv,cub
62,0.527043,0.50186,0.799628,,,0.0005,fc+conv,cub
63,0.479588,0.502029,0.802672,,,0.0005,fc+conv,cub
64,0.436531,0.497295,0.801319,,,0.0005,fc+conv,cub
65,0.401261,0.501015,0.800135,,,0.0005,fc+conv,cub
66,0.362274,0.499324,0.800304,,,0.0005,fc+conv,cub
67,0.335708,0.496787,0.798106,,,0.0005,fc+conv,cub
68,0.312962,0.496111,0.798275,,,0.0005,fc+conv,cub
69,0.283848,0.498647,0.796753,,,0.0005,fc+conv,cub
70,0.259484,0.501015,0.794893,,,0.0005,fc+conv,cub
71,0.239872,0.497125,0.79557,,,0.0005,fc+conv,cub
72,0.227572,0.496111,0.797261,,,0.0005,fc+conv,cub
73,0.212493,0.500169,0.794217,,,0.0005,fc+conv,cub
74,0.199545,0.499155,0.793879,,,0.0005,fc+conv,cub
75,0.195896,0.500169,0.790497,,,0.0005,fc+conv,cub
76,0.195203,0.498647,0.793203,,,0.0005,fc+conv,cub
77,0.178612,0.497971,0.79185,,,0.0005,fc+conv,cub
78,0.153243,0.497633,0.790497,,,0.0005,fc+conv,cub
79,0.146801,0.498478,0.790497,,,0.0005,fc+conv,cub
80,0.127716,0.495942,0.791343,,,0.0005,fc+conv,cub
