epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,24.17956,0.006312,0.031562,0.025521,0.122926,0.0005,fc+conv,cub
2,6.405641,0.004734,0.03051,0.025521,0.119098,0.0005,fc+conv,cub
3,6.09743,0.00526,0.028406,0.025521,0.119098,0.0005,fc+conv,cub
4,6.089741,0.005786,0.034719,0.025521,0.1208,0.0005,fc+conv,cub
5,6.083781,0.006839,0.036823,0.025521,0.119098,0.0005,fc+conv,cub
6,6.07973,0.007891,0.031562,0.025521,0.119098,0.0005,fc+conv,cub
7,6.075788,0.009995,0.034193,0.025521,0.119098,0.0005,fc+conv,cub
8,6.072011,0.005786,0.041557,0.025521,0.119098,0.0005,fc+conv,cub
9,6.065502,0.008943,0.04787,0.025521,0.128881,0.0005,fc+conv,cub
10,6.03558,0.019463,0.084166,0.026372,0.143343,0.0005,fc+conv,cub
11,5.858243,0.02262,0.112046,0.032327,0.172267,0.0005,fc+conv,cub
12,5.604423,0.033666,0.154655,0.04296,0.222459,0.0005,fc+conv,cub
13,5.415848,0.048922,0.193056,0.054445,0.249256,0.0005,fc+conv,cub
14,5.240984,0.061547,0.24566,0.059549,0.268822,0.0005,fc+conv,cub
15,5.09341,0.07838,0.306155,0.065079,0.29732,0.0005,fc+conv,cub
16,4.947241,0.105208,0.341399,0.065079,0.299872,0.0005,fc+conv,cub
17,4.815414,0.118359,0.378748,0.069332,0.300298,0.0005,fc+conv,cub
18,4.692648,0.149921,0.451341,0.066355,0.31476,0.0005,fc+conv,cub
19,4.550618,0.144661,0.45555,0.086346,0.313909,0.0005,fc+conv,cub
20,4.457851,0.164124,0.490794,0.086346,0.330923,0.0005,fc+conv,cub
21,4.3375,0.172541,0.515518,0.093152,0.348362,0.0005,fc+conv,cub
22,4.223048,0.189374,0.548133,0.094853,0.358996,0.0005,fc+conv,cub
23,4.077573,0.227249,0.59495,0.093152,0.370481,0.0005,fc+conv,cub
24,3.962625,0.219884,0.614413,0.100808,0.380689,0.0005,fc+conv,cub
25,3.825753,0.254603,0.627038,0.100383,0.392174,0.0005,fc+conv,cub
26,3.711682,0.267754,0.645976,0.102935,0.404509,0.0005,fc+conv,cub
27,3.593151,0.278275,0.674908,0.104636,0.403658,0.0005,fc+conv,cub
28,3.536011,0.301946,0.686481,0.112293,0.41174,0.0005,fc+conv,cub
29,3.444309,0.321936,0.708048,0.106763,0.409613,0.0005,fc+conv,cub
30,3.330309,0.338769,0.710153,0.111442,0.41812,0.0005,fc+conv,cub
31,3.265573,0.348764,0.722777,0.108464,0.419396,0.0005,fc+conv,cub
32,3.230105,0.355076,0.730142,0.118673,0.420247,0.0005,fc+conv,cub
33,3.162402,0.358759,0.739611,0.112718,0.4245,0.0005,fc+conv,cub
34,3.054606,0.381904,0.75434,0.111017,0.419821,0.0005,fc+conv,cub
35,3.007483,0.391899,0.7596,0.107614,0.421097,0.0005,fc+conv,cub
36,2.931495,0.407154,0.769595,0.108464,0.418971,0.0005,fc+conv,cub
37,2.870085,0.404524,0.770121,0.109741,0.421523,0.0005,fc+conv,cub
38,2.818254,0.420831,0.792741,0.111017,0.421948,0.0005,fc+conv,cub
39,2.74672,0.439243,0.794319,0.113143,0.425776,0.0005,fc+conv,cub
40,2.684693,0.446081,0.795371,0.111442,0.429179,0.0005,fc+conv,cub
41,2.617818,0.456602,0.802735,0.110166,0.426202,0.0005,fc+conv,cub
42,2.576474,0.46344,0.808522,0.11527,0.427903,0.0005,fc+conv,cub
43,2.530082,0.470279,0.814834,0.113994,0.433858,0.0005,fc+conv,cub
44,2.472265,0.48343,0.810626,0.11527,0.426627,0.0005,fc+conv,cub
45,2.421767,0.497107,0.824829,0.116972,0.436835,0.0005,fc+conv,cub
46,2.360278,0.492898,0.824829,0.119098,0.434283,0.0005,fc+conv,cub
47,2.319911,0.502367,0.834298,0.116121,0.438962,0.0005,fc+conv,cub
48,2.250353,0.50868,0.842188,0.112293,0.435985,0.0005,fc+conv,cub
49,2.225287,0.517096,0.841662,0.11527,0.432157,0.0005,fc+conv,cub
50,2.176768,0.529721,0.840084,0.117822,0.434709,0.0005,fc+conv,cub
51,2.112383,0.528669,0.847449,0.122926,0.440238,0.0005,fc+conv,cub
52,2.058861,0.53393,0.848501,0.1208,0.440238,0.0005,fc+conv,cub
53,2.025237,0.537086,0.849027,0.126329,0.440238,0.0005,fc+conv,cub
54,1.972947,0.540242,0.849027,0.122076,0.434283,0.0005,fc+conv,cub
55,1.920252,0.552341,0.850605,0.125904,0.435559,0.0005,fc+conv,cub
56,1.864395,0.561284,0.857443,0.122501,0.438111,0.0005,fc+conv,cub
57,1.838637,0.56444,0.857443,0.123777,0.437686,0.0005,fc+conv,cub
58,1.782565,0.565492,0.861126,0.119098,0.434283,0.0005,fc+conv,cub
59,1.755663,0.568648,0.862704,0.119098,0.441514,0.0005,fc+conv,cub
60,1.731116,0.586007,0.864282,0.120374,0.439813,0.0005,fc+conv,cub
61,1.678552,0.588638,0.8606,0.116121,0.439387,0.0005,fc+conv,cub
62,1.646538,0.581799,0.866386,0.117822,0.440238,0.0005,fc+conv,cub
63,1.607279,0.580221,0.8606,0.116972,0.443216,0.0005,fc+conv,cub
64,1.573135,0.584955,0.865334,0.122501,0.43641,0.0005,fc+conv,cub
65,1.546913,0.593898,0.860074,0.118673,0.444492,0.0005,fc+conv,cub
66,1.516652,0.591794,0.863756,0.12165,0.447895,0.0005,fc+conv,cub
67,1.479084,0.598106,0.865334,0.118248,0.441514,0.0005,fc+conv,cub
68,1.457518,0.596002,0.864808,0.116121,0.447895,0.0005,fc+conv,cub
69,1.408063,0.598106,0.862704,0.11527,0.444917,0.0005,fc+conv,cub
70,1.385808,0.599158,0.869542,0.118248,0.452148,0.0005,fc+conv,cub
71,1.336798,0.593898,0.866912,0.113569,0.452148,0.0005,fc+conv,cub
72,1.317747,0.598632,0.870068,0.113569,0.448745,0.0005,fc+conv,cub
73,1.32516,0.599684,0.867964,0.117397,0.452148,0.0005,fc+conv,cub
