epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,20.429771,0.006312,0.03051,0.025521,0.113994,0.0005,fc+conv,cub
2,6.17954,0.00526,0.03051,0.017439,0.119098,0.0005,fc+conv,cub
3,6.081542,0.00526,0.028932,0.017439,0.119098,0.0005,fc+conv,cub
4,6.075653,0.00526,0.03314,0.017439,0.119098,0.0005,fc+conv,cub
5,6.074089,0.00526,0.031036,0.017439,0.119098,0.0005,fc+conv,cub
6,6.071237,0.008943,0.036297,0.017439,0.119098,0.0005,fc+conv,cub
7,6.070283,0.007891,0.038927,0.017439,0.119098,0.0005,fc+conv,cub
8,6.069685,0.006839,0.037349,0.017439,0.119098,0.0005,fc+conv,cub
9,6.065946,0.008417,0.052604,0.017439,0.119098,0.0005,fc+conv,cub
10,6.064033,0.012099,0.052604,0.017439,0.119098,0.0005,fc+conv,cub
11,6.058768,0.014729,0.062599,0.017439,0.119098,0.0005,fc+conv,cub
12,6.05011,0.012099,0.071015,0.017439,0.119098,0.0005,fc+conv,cub
13,5.971245,0.016833,0.072593,0.025946,0.158656,0.0005,fc+conv,cub
14,5.645742,0.019989,0.118359,0.03658,0.23692,0.0005,fc+conv,cub
15,5.539114,0.038927,0.141504,0.043811,0.246704,0.0005,fc+conv,cub
16,5.446111,0.047344,0.174119,0.039983,0.258613,0.0005,fc+conv,cub
17,5.323328,0.051026,0.18727,0.048915,0.267971,0.0005,fc+conv,cub
18,5.179419,0.067859,0.219884,0.055721,0.276903,0.0005,fc+conv,cub
19,4.990419,0.093635,0.285639,0.072735,0.293917,0.0005,fc+conv,cub
20,4.797814,0.11152,0.359285,0.065929,0.305827,0.0005,fc+conv,cub
21,4.570781,0.147817,0.402946,0.081667,0.349638,0.0005,fc+conv,cub
22,4.424103,0.163598,0.448185,0.094853,0.37516,0.0005,fc+conv,cub
23,4.19913,0.186218,0.482378,0.100383,0.384092,0.0005,fc+conv,cub
24,4.061715,0.198317,0.524987,0.102084,0.397703,0.0005,fc+conv,cub
25,3.959636,0.21515,0.540242,0.106338,0.405785,0.0005,fc+conv,cub
26,3.804602,0.228827,0.569174,0.105487,0.408762,0.0005,fc+conv,cub
27,3.735759,0.239348,0.580221,0.105062,0.401106,0.0005,fc+conv,cub
28,3.593571,0.266176,0.61494,0.105912,0.39983,0.0005,fc+conv,cub
29,3.479611,0.274066,0.629143,0.100808,0.409613,0.0005,fc+conv,cub
30,3.327509,0.294056,0.65071,0.105062,0.40621,0.0005,fc+conv,cub
31,3.232974,0.298264,0.654392,0.099532,0.409613,0.0005,fc+conv,cub
32,3.131858,0.324566,0.682799,0.100808,0.413441,0.0005,fc+conv,cub
33,2.999747,0.336139,0.697002,0.100808,0.411314,0.0005,fc+conv,cub
34,2.884929,0.340347,0.705944,0.106338,0.415568,0.0005,fc+conv,cub
35,2.788596,0.355076,0.726986,0.105912,0.420672,0.0005,fc+conv,cub
36,2.685204,0.379274,0.725934,0.109741,0.425351,0.0005,fc+conv,cub
37,2.624033,0.377696,0.742767,0.111017,0.416419,0.0005,fc+conv,cub
38,2.501361,0.391373,0.751184,0.112293,0.428328,0.0005,fc+conv,cub
39,2.464999,0.394003,0.752762,0.113994,0.427478,0.0005,fc+conv,cub
40,2.330456,0.393477,0.751184,0.114845,0.421097,0.0005,fc+conv,cub
41,2.288627,0.403998,0.757496,0.113143,0.417695,0.0005,fc+conv,cub
42,2.181872,0.40768,0.759074,0.11527,0.418971,0.0005,fc+conv,cub
43,2.105254,0.414519,0.76223,0.119098,0.421097,0.0005,fc+conv,cub
44,2.052826,0.429774,0.764861,0.114419,0.420247,0.0005,fc+conv,cub
45,1.997121,0.424513,0.764861,0.123352,0.421523,0.0005,fc+conv,cub
46,1.937059,0.433456,0.770121,0.117397,0.413016,0.0005,fc+conv,cub
47,1.853196,0.432404,0.772225,0.118248,0.418971,0.0005,fc+conv,cub
48,1.778172,0.435034,0.775381,0.126329,0.419821,0.0005,fc+conv,cub
49,1.718656,0.445555,0.771173,0.118248,0.419396,0.0005,fc+conv,cub
50,1.710568,0.439769,0.770121,0.116546,0.426202,0.0005,fc+conv,cub
51,1.615319,0.441347,0.772751,0.126329,0.414717,0.0005,fc+conv,cub
52,1.576971,0.445555,0.773803,0.12718,0.416844,0.0005,fc+conv,cub
53,1.524598,0.447659,0.776959,0.126755,0.419396,0.0005,fc+conv,cub
54,1.45037,0.449237,0.774855,0.125479,0.415993,0.0005,fc+conv,cub
55,1.38997,0.447659,0.77959,0.126755,0.422799,0.0005,fc+conv,cub
56,1.338987,0.449763,0.775907,0.130583,0.418971,0.0005,fc+conv,cub
57,1.316685,0.447659,0.773803,0.130157,0.419821,0.0005,fc+conv,cub
58,1.293985,0.437664,0.7596,0.132284,0.415568,0.0005,fc+conv,cub
59,1.244488,0.448185,0.766965,0.124628,0.426202,0.0005,fc+conv,cub
60,1.184387,0.443977,0.774855,0.127605,0.425351,0.0005,fc+conv,cub
61,1.160229,0.455024,0.778538,0.128881,0.418545,0.0005,fc+conv,cub
62,1.091915,0.453972,0.771699,0.125053,0.426202,0.0005,fc+conv,cub
63,1.040601,0.446607,0.775907,0.131859,0.409188,0.0005,fc+conv,cub
64,1.008895,0.449763,0.773277,0.131008,0.420247,0.0005,fc+conv,cub
65,0.983216,0.442925,0.765913,0.128881,0.413866,0.0005,fc+conv,cub
66,0.974124,0.453446,0.774855,0.128031,0.421523,0.0005,fc+conv,cub
67,0.927054,0.451341,0.775907,0.128456,0.424926,0.0005,fc+conv,cub
68,0.878078,0.448185,0.772751,0.133986,0.418971,0.0005,fc+conv,cub
69,0.842665,0.448185,0.772751,0.134836,0.413866,0.0005,fc+conv,cub
70,0.812169,0.449763,0.776433,0.132284,0.425776,0.0005,fc+conv,cub
71,0.81053,0.445555,0.770121,0.13356,0.429604,0.0005,fc+conv,cub
72,0.795194,0.442399,0.776433,0.133135,0.419821,0.0005,fc+conv,cub
73,0.739633,0.444503,0.771699,0.132284,0.4245,0.0005,fc+conv,cub
74,0.700868,0.446081,0.776959,0.141217,0.429179,0.0005,fc+conv,cub
75,0.677697,0.448711,0.77959,0.133986,0.43003,0.0005,fc+conv,cub
76,0.640956,0.459232,0.775907,0.131433,0.431731,0.0005,fc+conv,cub
77,0.612357,0.453446,0.776959,0.135687,0.429179,0.0005,fc+conv,cub
78,0.615694,0.451341,0.768017,0.136538,0.4245,0.0005,fc+conv,cub
79,0.596968,0.463966,0.788006,0.138239,0.428328,0.0005,fc+conv,cub
80,0.568748,0.462388,0.776959,0.131008,0.432582,0.0005,fc+conv,cub
81,0.526606,0.456076,0.773803,0.130583,0.427903,0.0005,fc+conv,cub
82,0.515354,0.462388,0.774855,0.138664,0.427052,0.0005,fc+conv,cub
83,0.47246,0.456602,0.783272,0.132709,0.43641,0.0005,fc+conv,cub
84,0.475447,0.463966,0.779064,0.132284,0.435134,0.0005,fc+conv,cub
85,0.438711,0.458706,0.772225,0.135262,0.432582,0.0005,fc+conv,cub
86,0.421568,0.46344,0.780642,0.133135,0.435134,0.0005,fc+conv,cub
87,0.4023,0.464492,0.776959,0.132709,0.432157,0.0005,fc+conv,cub
88,0.414464,0.462388,0.775907,0.133135,0.442365,0.0005,fc+conv,cub
