epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,22.093415,0.006312,0.031562,0.025521,0.114845,0.0005,fc+conv,cub
2,7.031841,0.006312,0.034193,0.025521,0.119098,0.0005,fc+conv,cub
3,6.852701,0.010521,0.038401,0.025521,0.119098,0.0005,fc+conv,cub
4,6.790344,0.006312,0.055234,0.025521,0.119098,0.0005,fc+conv,cub
5,6.745197,0.017885,0.059442,0.025521,0.119098,0.0005,fc+conv,cub
6,6.690793,0.02788,0.109416,0.025521,0.119524,0.0005,fc+conv,cub
7,6.569768,0.02788,0.152551,0.032327,0.151425,0.0005,fc+conv,cub
8,6.197729,0.053656,0.224093,0.049766,0.282433,0.0005,fc+conv,cub
9,5.638618,0.110468,0.365071,0.083369,0.317312,0.0005,fc+conv,cub
10,5.127182,0.152551,0.478169,0.099532,0.336453,0.0005,fc+conv,cub
11,4.738638,0.213572,0.575487,0.10336,0.352616,0.0005,fc+conv,cub
12,4.399078,0.261441,0.640715,0.104211,0.378562,0.0005,fc+conv,cub
13,4.042116,0.318254,0.698054,0.104636,0.415568,0.0005,fc+conv,cub
14,3.704326,0.364019,0.742241,0.102084,0.426627,0.0005,fc+conv,cub
15,3.421839,0.400842,0.770647,0.100808,0.451723,0.0005,fc+conv,cub
16,3.202554,0.428722,0.774855,0.111867,0.472565,0.0005,fc+conv,cub
17,3.091234,0.448185,0.797475,0.114419,0.467886,0.0005,fc+conv,cub
18,2.865886,0.45818,0.806944,0.11527,0.47852,0.0005,fc+conv,cub
19,2.706975,0.489216,0.827459,0.116121,0.488728,0.0005,fc+conv,cub
20,2.584281,0.493951,0.835876,0.115695,0.50319,0.0005,fc+conv,cub
21,2.462596,0.523935,0.84324,0.122076,0.515525,0.0005,fc+conv,cub
22,2.317753,0.528669,0.850079,0.117397,0.509145,0.0005,fc+conv,cub
23,2.193894,0.532351,0.854287,0.122076,0.510846,0.0005,fc+conv,cub
24,2.096058,0.552867,0.861652,0.12165,0.507018,0.0005,fc+conv,cub
25,1.948281,0.559705,0.86586,0.124202,0.512973,0.0005,fc+conv,cub
26,1.849135,0.561284,0.86323,0.129732,0.516376,0.0005,fc+conv,cub
27,1.756864,0.565492,0.864808,0.131433,0.507018,0.0005,fc+conv,cub
28,1.638323,0.580221,0.873751,0.133986,0.498086,0.0005,fc+conv,cub
29,1.542706,0.578643,0.874803,0.137388,0.507444,0.0005,fc+conv,cub
30,1.453991,0.584955,0.876907,0.140791,0.503615,0.0005,fc+conv,cub
31,1.351338,0.581273,0.875329,0.131859,0.498511,0.0005,fc+conv,cub
32,1.270035,0.584429,0.879011,0.137388,0.492556,0.0005,fc+conv,cub
33,1.187451,0.583377,0.875855,0.137388,0.499362,0.0005,fc+conv,cub
34,1.103278,0.585481,0.876907,0.139515,0.500213,0.0005,fc+conv,cub
35,1.029693,0.593898,0.871647,0.13356,0.499787,0.0005,fc+conv,cub
36,0.962747,0.581273,0.873751,0.135687,0.497661,0.0005,fc+conv,cub
37,0.897875,0.586533,0.86849,0.139515,0.489154,0.0005,fc+conv,cub
38,0.819448,0.585481,0.86849,0.135262,0.493407,0.0005,fc+conv,cub
39,0.759367,0.584955,0.867438,0.131433,0.500213,0.0005,fc+conv,cub
40,0.710663,0.582851,0.866386,0.135687,0.49043,0.0005,fc+conv,cub
41,0.643954,0.586533,0.866912,0.137814,0.495108,0.0005,fc+conv,cub
42,0.597542,0.580221,0.866386,0.135687,0.49681,0.0005,fc+conv,cub
43,0.596285,0.588638,0.866386,0.140791,0.498511,0.0005,fc+conv,cub
44,0.545121,0.582851,0.86586,0.133135,0.493407,0.0005,fc+conv,cub
45,0.478188,0.581273,0.861126,0.132284,0.493832,0.0005,fc+conv,cub
46,0.430962,0.583377,0.852183,0.132284,0.49128,0.0005,fc+conv,cub
47,0.404553,0.576013,0.856917,0.132284,0.49043,0.0005,fc+conv,cub
48,0.378051,0.573908,0.854287,0.132284,0.486176,0.0005,fc+conv,cub
49,0.342651,0.579169,0.852183,0.134411,0.49043,0.0005,fc+conv,cub
50,0.312477,0.57233,0.851131,0.131859,0.482773,0.0005,fc+conv,cub
