epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,16.381375,0.00526,0.031036,0.025521,0.1208,0.0005,fc+conv,cub
2,6.469326,0.005786,0.031036,0.025521,0.123352,0.0005,fc+conv,cub
3,6.29687,0.006312,0.037349,0.025521,0.119098,0.0005,fc+conv,cub
4,6.237218,0.007365,0.036297,0.025521,0.136112,0.0005,fc+conv,cub
5,6.199716,0.008943,0.051026,0.025521,0.159507,0.0005,fc+conv,cub
6,6.16868,0.013677,0.066281,0.028499,0.177371,0.0005,fc+conv,cub
7,6.137555,0.016307,0.08101,0.040408,0.189707,0.0005,fc+conv,cub
8,6.089548,0.024724,0.098369,0.07231,0.247129,0.0005,fc+conv,cub
9,5.882954,0.02525,0.133614,0.077414,0.312208,0.0005,fc+conv,cub
10,5.437477,0.049448,0.185692,0.091876,0.380689,0.0005,fc+conv,cub
11,5.13744,0.05839,0.224093,0.090174,0.407912,0.0005,fc+conv,cub
12,4.929668,0.066281,0.287217,0.086346,0.437686,0.0005,fc+conv,cub
13,4.744071,0.08101,0.3293,0.091876,0.419821,0.0005,fc+conv,cub
14,4.590186,0.121515,0.391899,0.092726,0.443641,0.0005,fc+conv,cub
15,4.402894,0.155708,0.457128,0.098681,0.460655,0.0005,fc+conv,cub
16,4.190898,0.173593,0.521305,0.10336,0.464909,0.0005,fc+conv,cub
17,4.049247,0.21252,0.549711,0.105487,0.475117,0.0005,fc+conv,cub
18,3.878117,0.243556,0.598632,0.10336,0.487877,0.0005,fc+conv,cub
19,3.701828,0.274592,0.623882,0.110591,0.499362,0.0005,fc+conv,cub
20,3.568149,0.29879,0.649658,0.115695,0.497661,0.0005,fc+conv,cub
21,3.420959,0.312467,0.689111,0.119524,0.501914,0.0005,fc+conv,cub
22,3.250932,0.339295,0.709627,0.125479,0.507444,0.0005,fc+conv,cub
23,3.130009,0.358233,0.730668,0.128031,0.513824,0.0005,fc+conv,cub
24,2.994235,0.388743,0.749605,0.134411,0.516801,0.0005,fc+conv,cub
25,3.056985,0.400316,0.772751,0.136963,0.538069,0.0005,fc+conv,cub
26,2.800284,0.409258,0.781694,0.143343,0.536793,0.0005,fc+conv,cub
27,2.65311,0.425039,0.792741,0.141217,0.541472,0.0005,fc+conv,cub
28,2.546811,0.442925,0.798001,0.144194,0.542322,0.0005,fc+conv,cub
29,2.446981,0.456602,0.806944,0.149724,0.542322,0.0005,fc+conv,cub
30,2.354602,0.461336,0.81536,0.148022,0.548703,0.0005,fc+conv,cub
31,2.277959,0.46081,0.817464,0.149298,0.55168,0.0005,fc+conv,cub
32,2.183004,0.469753,0.826407,0.155253,0.560187,0.0005,fc+conv,cub
33,2.142073,0.475013,0.826933,0.153977,0.564441,0.0005,fc+conv,cub
34,2.033248,0.485008,0.833772,0.156104,0.561038,0.0005,fc+conv,cub
35,1.932962,0.490268,0.83798,0.156104,0.558486,0.0005,fc+conv,cub
36,1.865045,0.497107,0.839032,0.164185,0.560613,0.0005,fc+conv,cub
37,1.800377,0.500263,0.841662,0.162909,0.56359,0.0005,fc+conv,cub
38,1.771157,0.499737,0.842188,0.165036,0.560187,0.0005,fc+conv,cub
39,1.647549,0.506049,0.841662,0.165036,0.570821,0.0005,fc+conv,cub
40,1.567904,0.517622,0.847975,0.173118,0.573798,0.0005,fc+conv,cub
41,1.534314,0.515518,0.842188,0.167588,0.572948,0.0005,fc+conv,cub
42,1.570722,0.520779,0.848501,0.166738,0.577201,0.0005,fc+conv,cub
43,1.430017,0.528669,0.851131,0.169715,0.580604,0.0005,fc+conv,cub
44,1.317963,0.534456,0.851131,0.168864,0.583156,0.0005,fc+conv,cub
45,1.269724,0.542346,0.855865,0.168014,0.58188,0.0005,fc+conv,cub
46,1.208169,0.539716,0.853235,0.168864,0.58741,0.0005,fc+conv,cub
47,1.175206,0.54445,0.849553,0.174819,0.592088,0.0005,fc+conv,cub
48,1.135848,0.545502,0.851657,0.173969,0.591238,0.0005,fc+conv,cub
49,1.041971,0.542872,0.854813,0.172692,0.595491,0.0005,fc+conv,cub
50,0.996697,0.540768,0.846923,0.171416,0.596342,0.0005,fc+conv,cub
51,0.978369,0.54445,0.851657,0.171842,0.58741,0.0005,fc+conv,cub
52,0.901581,0.544976,0.850605,0.169715,0.599319,0.0005,fc+conv,cub
53,0.864642,0.54708,0.853761,0.171416,0.589111,0.0005,fc+conv,cub
54,0.803174,0.54182,0.853235,0.173118,0.591238,0.0005,fc+conv,cub
55,0.755269,0.546028,0.846923,0.179498,0.592939,0.0005,fc+conv,cub
56,0.749919,0.546554,0.858496,0.17567,0.591238,0.0005,fc+conv,cub
57,0.735112,0.540242,0.846923,0.172692,0.594641,0.0005,fc+conv,cub
58,0.661723,0.542872,0.852183,0.173118,0.594641,0.0005,fc+conv,cub
59,0.636251,0.545502,0.845871,0.17014,0.601021,0.0005,fc+conv,cub
60,0.639416,0.552341,0.843766,0.173969,0.597193,0.0005,fc+conv,cub
61,0.570593,0.557601,0.842714,0.174394,0.601872,0.0005,fc+conv,cub
62,0.513181,0.541294,0.845345,0.174394,0.601446,0.0005,fc+conv,cub
63,0.515048,0.545502,0.842714,0.172267,0.594215,0.0005,fc+conv,cub
64,0.456226,0.546554,0.84324,0.170991,0.606976,0.0005,fc+conv,cub
65,0.406691,0.548133,0.842714,0.178222,0.601446,0.0005,fc+conv,cub
66,0.384385,0.546028,0.84324,0.176095,0.599745,0.0005,fc+conv,cub
67,0.359576,0.548133,0.84061,0.176521,0.592514,0.0005,fc+conv,cub
68,0.329163,0.54182,0.844819,0.180349,0.598043,0.0005,fc+conv,cub
69,0.339202,0.54182,0.840084,0.173969,0.597193,0.0005,fc+conv,cub
70,0.353642,0.54708,0.836928,0.173118,0.597618,0.0005,fc+conv,cub
71,0.31704,0.543924,0.837454,0.174394,0.597618,0.0005,fc+conv,cub
72,0.301485,0.547607,0.840084,0.17014,0.595917,0.0005,fc+conv,cub
73,0.276004,0.549711,0.840084,0.172692,0.598043,0.0005,fc+conv,cub
74,0.246288,0.54182,0.834824,0.173969,0.592939,0.0005,fc+conv,cub
75,0.21978,0.544976,0.834824,0.177797,0.598469,0.0005,fc+conv,cub
76,0.199276,0.543924,0.833772,0.176095,0.598469,0.0005,fc+conv,cub
77,0.212928,0.548659,0.829563,0.171416,0.590387,0.0005,fc+conv,cub
78,0.177758,0.534982,0.831142,0.179073,0.598043,0.0005,fc+conv,cub
