epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,16.375244,0.006312,0.035245,0.025521,0.119524,0.0005,fc+conv,cub
2,6.462839,0.006312,0.031036,0.025521,0.119524,0.0005,fc+conv,cub
3,6.296099,0.005786,0.032614,0.025521,0.111867,0.0005,fc+conv,cub
4,6.239915,0.005786,0.035245,0.025521,0.111867,0.0005,fc+conv,cub
5,6.204932,0.006312,0.046291,0.025521,0.102084,0.0005,fc+conv,cub
6,6.173946,0.013151,0.048922,0.025946,0.12165,0.0005,fc+conv,cub
7,6.119094,0.014203,0.074698,0.053169,0.18205,0.0005,fc+conv,cub
8,5.944726,0.022094,0.076802,0.062101,0.234368,0.0005,fc+conv,cub
9,5.740421,0.023672,0.092057,0.067205,0.25436,0.0005,fc+conv,cub
10,5.612544,0.02525,0.105734,0.056146,0.267546,0.0005,fc+conv,cub
11,5.50865,0.023672,0.133088,0.054445,0.306253,0.0005,fc+conv,cub
12,5.380661,0.026302,0.163072,0.04849,0.353892,0.0005,fc+conv,cub
13,5.190513,0.043135,0.204103,0.085921,0.391323,0.0005,fc+conv,cub
14,4.95768,0.062073,0.262493,0.083794,0.396427,0.0005,fc+conv,cub
15,4.770165,0.08101,0.314571,0.079966,0.381965,0.0005,fc+conv,cub
16,4.616699,0.090479,0.364019,0.084219,0.377712,0.0005,fc+conv,cub
17,4.478612,0.113098,0.411888,0.0906,0.383667,0.0005,fc+conv,cub
18,4.362997,0.143609,0.461336,0.091876,0.382816,0.0005,fc+conv,cub
19,4.246374,0.175697,0.493951,0.096129,0.370906,0.0005,fc+conv,cub
20,4.090741,0.204629,0.54182,0.099107,0.373458,0.0005,fc+conv,cub
21,3.928384,0.22041,0.581799,0.101234,0.383241,0.0005,fc+conv,cub
22,3.807359,0.247764,0.612835,0.10336,0.401531,0.0005,fc+conv,cub
23,3.74311,0.271436,0.624934,0.112293,0.410038,0.0005,fc+conv,cub
24,3.501126,0.290373,0.658601,0.114845,0.427052,0.0005,fc+conv,cub
25,3.374584,0.312467,0.67859,0.122076,0.433858,0.0005,fc+conv,cub
26,3.225714,0.332457,0.70647,0.128456,0.444492,0.0005,fc+conv,cub
27,3.1159,0.343503,0.72646,0.132284,0.445342,0.0005,fc+conv,cub
28,3.147651,0.361915,0.73435,0.134411,0.455976,0.0005,fc+conv,cub
29,2.898809,0.379274,0.748553,0.136538,0.458954,0.0005,fc+conv,cub
30,2.811225,0.400842,0.760652,0.137388,0.46108,0.0005,fc+conv,cub
31,2.741525,0.401368,0.769069,0.142918,0.467886,0.0005,fc+conv,cub
32,2.677952,0.411362,0.776433,0.14547,0.470863,0.0005,fc+conv,cub
33,2.575398,0.428196,0.782746,0.145895,0.469587,0.0005,fc+conv,cub
34,2.424487,0.438716,0.791163,0.148447,0.47299,0.0005,fc+conv,cub
35,2.330679,0.452393,0.79011,0.152276,0.469162,0.0005,fc+conv,cub
36,2.248579,0.458706,0.799579,0.150574,0.47299,0.0005,fc+conv,cub
37,2.194755,0.465018,0.80484,0.156954,0.475968,0.0005,fc+conv,cub
38,2.115149,0.46344,0.806418,0.152701,0.478094,0.0005,fc+conv,cub
39,2.027539,0.482904,0.806418,0.154828,0.480647,0.0005,fc+conv,cub
40,1.934741,0.487638,0.809048,0.159932,0.47852,0.0005,fc+conv,cub
41,1.962264,0.485008,0.817991,0.156529,0.489154,0.0005,fc+conv,cub
42,1.841236,0.490794,0.820095,0.162059,0.490855,0.0005,fc+conv,cub
43,1.719281,0.495003,0.823777,0.161208,0.49128,0.0005,fc+conv,cub
44,1.659757,0.498685,0.827985,0.162059,0.489579,0.0005,fc+conv,cub
45,1.640113,0.503945,0.826407,0.163335,0.497661,0.0005,fc+conv,cub
46,1.534398,0.501841,0.827459,0.16376,0.492556,0.0005,fc+conv,cub
47,1.511756,0.507628,0.828511,0.160357,0.495534,0.0005,fc+conv,cub
48,1.428413,0.505523,0.826407,0.167163,0.498937,0.0005,fc+conv,cub
49,1.394546,0.50868,0.826933,0.16376,0.495534,0.0005,fc+conv,cub
50,1.324265,0.51131,0.830615,0.167588,0.497235,0.0005,fc+conv,cub
51,1.266086,0.518148,0.823251,0.162909,0.497661,0.0005,fc+conv,cub
52,1.185434,0.5192,0.825355,0.159081,0.498937,0.0005,fc+conv,cub
53,1.155336,0.51394,0.822725,0.164185,0.493407,0.0005,fc+conv,cub
54,1.134342,0.521831,0.830615,0.15738,0.501063,0.0005,fc+conv,cub
55,1.040897,0.524461,0.830615,0.162059,0.501914,0.0005,fc+conv,cub
56,0.989647,0.51394,0.829563,0.162484,0.494683,0.0005,fc+conv,cub
57,0.995691,0.511836,0.819569,0.162059,0.505742,0.0005,fc+conv,cub
58,0.916507,0.522883,0.826933,0.162909,0.499362,0.0005,fc+conv,cub
59,0.853254,0.531299,0.827985,0.164611,0.499787,0.0005,fc+conv,cub
60,0.908504,0.528143,0.824829,0.163335,0.498937,0.0005,fc+conv,cub
61,0.823602,0.528143,0.821147,0.155253,0.500638,0.0005,fc+conv,cub
62,0.770701,0.522883,0.822199,0.159932,0.501914,0.0005,fc+conv,cub
63,0.734191,0.522357,0.825881,0.165036,0.499787,0.0005,fc+conv,cub
64,0.803371,0.518674,0.816412,0.163335,0.502339,0.0005,fc+conv,cub
65,0.682687,0.522357,0.822199,0.161633,0.501489,0.0005,fc+conv,cub
66,0.634262,0.513414,0.822725,0.162909,0.497235,0.0005,fc+conv,cub
67,0.587014,0.526039,0.816938,0.160357,0.502765,0.0005,fc+conv,cub
68,0.550164,0.524461,0.819569,0.162909,0.505742,0.0005,fc+conv,cub
