epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.094176,0.006312,0.031562,0.025521,0.114845,0.0005,fc+conv,cub
2,6.558487,0.006312,0.031036,0.025521,0.119098,0.0005,fc+conv,cub
3,6.376023,0.010521,0.035771,0.025521,0.119098,0.0005,fc+conv,cub
4,6.307164,0.006839,0.042083,0.025521,0.119098,0.0005,fc+conv,cub
5,6.258881,0.013151,0.051552,0.025521,0.119098,0.0005,fc+conv,cub
6,6.127362,0.02788,0.10889,0.029775,0.13909,0.0005,fc+conv,cub
7,5.823264,0.029458,0.137822,0.040408,0.20034,0.0005,fc+conv,cub
8,5.532014,0.054182,0.190426,0.040834,0.233092,0.0005,fc+conv,cub
9,5.257097,0.078906,0.294582,0.069332,0.259039,0.0005,fc+conv,cub
10,4.839304,0.141504,0.437664,0.082943,0.304551,0.0005,fc+conv,cub
11,4.425446,0.194108,0.541294,0.096129,0.330072,0.0005,fc+conv,cub
12,4.123026,0.24303,0.621778,0.094428,0.329647,0.0005,fc+conv,cub
13,3.755303,0.279853,0.6707,0.104636,0.353892,0.0005,fc+conv,cub
14,3.559159,0.311415,0.697528,0.10336,0.368354,0.0005,fc+conv,cub
15,3.343865,0.341925,0.726986,0.109315,0.371757,0.0005,fc+conv,cub
16,3.150386,0.372436,0.743819,0.108464,0.387495,0.0005,fc+conv,cub
17,2.966946,0.396633,0.773277,0.108464,0.399405,0.0005,fc+conv,cub
18,2.831633,0.415045,0.782746,0.113143,0.422799,0.0005,fc+conv,cub
19,2.715018,0.446081,0.798001,0.109315,0.427903,0.0005,fc+conv,cub
20,2.569256,0.46081,0.80484,0.110166,0.438537,0.0005,fc+conv,cub
21,2.444351,0.479748,0.816938,0.113994,0.442365,0.0005,fc+conv,cub
22,2.335659,0.498685,0.819569,0.112293,0.438962,0.0005,fc+conv,cub
23,2.233474,0.500789,0.825355,0.113569,0.445768,0.0005,fc+conv,cub
24,2.197272,0.513414,0.825881,0.116546,0.452573,0.0005,fc+conv,cub
25,2.039699,0.516044,0.83535,0.116121,0.455976,0.0005,fc+conv,cub
26,1.948858,0.529195,0.84324,0.120374,0.470013,0.0005,fc+conv,cub
27,2.141925,0.537086,0.84324,0.119949,0.469587,0.0005,fc+conv,cub
28,1.806291,0.54708,0.856917,0.119098,0.476393,0.0005,fc+conv,cub
29,1.690341,0.553919,0.854287,0.118248,0.475117,0.0005,fc+conv,cub
30,1.62784,0.555497,0.851657,0.122076,0.481497,0.0005,fc+conv,cub
31,1.531624,0.562862,0.857969,0.118673,0.469587,0.0005,fc+conv,cub
32,1.44815,0.563914,0.857969,0.119524,0.470863,0.0005,fc+conv,cub
33,1.382113,0.573382,0.858496,0.120374,0.467035,0.0005,fc+conv,cub
34,1.288316,0.56444,0.857969,0.123352,0.478094,0.0005,fc+conv,cub
35,1.207614,0.580221,0.865334,0.122076,0.469587,0.0005,fc+conv,cub
