epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.707561,0.016879,0.052838,,,0.0005,fc+conv,flowers
2,6.017402,0.030822,0.129892,,,0.0005,fc+conv,flowers
3,5.585541,0.023973,0.135519,,,0.0005,fc+conv,flowers
4,5.496697,0.030822,0.129892,,,0.0005,fc+conv,flowers
5,5.642092,0.030822,0.129892,,,0.0005,fc+conv,flowers
6,5.768056,0.030822,0.129892,,,0.0005,fc+conv,flowers
7,5.792041,0.030822,0.129892,,,0.0005,fc+conv,flowers
8,5.775799,0.030822,0.129892,,,0.0005,fc+conv,flowers
9,5.770599,0.044276,0.136252,,,0.0005,fc+conv,flowers
10,5.722501,0.020548,0.140411,,,0.0005,fc+conv,flowers
11,5.722519,0.037671,0.140166,,,0.0005,fc+conv,flowers
12,5.906346,0.035714,0.151419,,,0.0005,fc+conv,flowers
13,5.927245,0.041341,0.138454,,,0.0005,fc+conv,flowers
14,5.546357,0.015411,0.153131,,,0.0005,fc+conv,flowers
15,5.310933,0.028376,0.130626,,,0.0005,fc+conv,flowers
16,5.279435,0.0318,0.138209,,,0.0005,fc+conv,flowers
17,5.373699,0.016389,0.121331,,,0.0005,fc+conv,flowers
18,5.578324,0.058219,0.235323,,,0.0005,fc+conv,flowers
19,5.558218,0.035959,0.184198,,,0.0005,fc+conv,flowers
20,5.246722,0.061155,0.235812,,,0.0005,fc+conv,flowers
21,5.026511,0.063112,0.271037,,,0.0005,fc+conv,flowers
22,4.850125,0.098581,0.315313,,,0.0005,fc+conv,flowers
23,4.793229,0.090509,0.347603,,,0.0005,fc+conv,flowers
24,5.041652,0.112769,0.341732,,,0.0005,fc+conv,flowers
25,4.820692,0.136252,0.369374,,,0.0005,fc+conv,flowers
26,4.855623,0.116683,0.342221,,,0.0005,fc+conv,flowers
27,4.598795,0.167074,0.441536,,,0.0005,fc+conv,flowers
28,4.49699,0.142123,0.447407,,,0.0005,fc+conv,flowers
29,4.325784,0.192025,0.50318,,,0.0005,fc+conv,flowers
30,4.42545,0.219178,0.542808,,,0.0005,fc+conv,flowers
31,4.157461,0.252691,0.587084,,,0.0005,fc+conv,flowers
32,4.01007,0.288894,0.613503,,,0.0005,fc+conv,flowers
33,3.936243,0.294276,0.636497,,,0.0005,fc+conv,flowers
34,3.885065,0.325098,0.654354,,,0.0005,fc+conv,flowers
35,3.81251,0.342955,0.673924,,,0.0005,fc+conv,flowers
36,3.755119,0.370597,0.688356,,,0.0005,fc+conv,flowers
37,3.607339,0.396037,0.708904,,,0.0005,fc+conv,flowers
38,3.437585,0.396037,0.722114,,,0.0005,fc+conv,flowers
39,3.411197,0.424658,0.747065,,,0.0005,fc+conv,flowers
