epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,16.068198,0.022418,0.120897,0.053041,0.323114,0.0005,fc+conv,flowers
2,6.871197,0.031225,0.114492,0.122141,0.321655,0.0005,fc+conv,flowers
3,5.817285,0.041633,0.15052,0.053041,0.384428,0.0005,fc+conv,flowers
4,5.554036,0.044836,0.156125,0.053041,0.384428,0.0005,fc+conv,flowers
5,5.440365,0.041633,0.156125,0.053041,0.384428,0.0005,fc+conv,flowers
6,5.403757,0.041633,0.156125,0.060827,0.384428,0.0005,fc+conv,flowers
7,5.408687,0.041633,0.156125,0.119708,0.384428,0.0005,fc+conv,flowers
8,5.434083,0.042434,0.156125,0.122141,0.384428,0.0005,fc+conv,flowers
9,5.4412,0.041633,0.156125,0.122141,0.385401,0.0005,fc+conv,flowers
10,5.42521,0.042434,0.160929,0.122141,0.377616,0.0005,fc+conv,flowers
11,5.404265,0.05044,0.17454,0.122141,0.369343,0.0005,fc+conv,flowers
12,5.342849,0.060849,0.191353,0.122141,0.36837,0.0005,fc+conv,flowers
13,5.256926,0.048839,0.190552,0.10219,0.3382,0.0005,fc+conv,flowers
14,5.200074,0.082466,0.269816,0.122141,0.400973,0.0005,fc+conv,flowers
15,4.95711,0.035228,0.160929,0.058394,0.251095,0.0005,fc+conv,flowers
16,6.165521,0.058447,0.221777,0.057908,0.320681,0.0005,fc+conv,flowers
17,4.96827,0.060849,0.242594,0.071533,0.2691,0.0005,fc+conv,flowers
18,5.096964,0.073659,0.309848,0.102676,0.293917,0.0005,fc+conv,flowers
19,5.097944,0.071257,0.289832,0.086131,0.309489,0.0005,fc+conv,flowers
20,5.022401,0.072058,0.309848,0.06326,0.333333,0.0005,fc+conv,flowers
21,4.790505,0.102482,0.351481,0.082238,0.305596,0.0005,fc+conv,flowers
22,4.702198,0.111289,0.3747,0.078832,0.280779,0.0005,fc+conv,flowers
23,4.672021,0.093675,0.373899,0.072019,0.295377,0.0005,fc+conv,flowers
24,4.570701,0.124099,0.380304,0.0618,0.29927,0.0005,fc+conv,flowers
25,5.095515,0.080064,0.286629,0.060827,0.273479,0.0005,fc+conv,flowers
26,4.688555,0.136109,0.442754,0.0618,0.345985,0.0005,fc+conv,flowers
27,4.581539,0.131305,0.428343,0.07056,0.297324,0.0005,fc+conv,flowers
28,4.38664,0.156926,0.488391,0.081752,0.347932,0.0005,fc+conv,flowers
29,4.2934,0.16253,0.507606,0.079319,0.357178,0.0005,fc+conv,flowers
30,4.267198,0.168135,0.515612,0.082238,0.367883,0.0005,fc+conv,flowers
31,4.257195,0.172938,0.53723,0.078345,0.390754,0.0005,fc+conv,flowers
32,4.216939,0.216173,0.544436,0.072019,0.422384,0.0005,fc+conv,flowers
33,4.142339,0.245797,0.556445,0.073479,0.427251,0.0005,fc+conv,flowers
34,4.043013,0.265813,0.578062,0.073479,0.424818,0.0005,fc+conv,flowers
35,3.9522,0.280224,0.593275,0.075912,0.415085,0.0005,fc+conv,flowers
36,3.886356,0.31305,0.59968,0.074453,0.39562,0.0005,fc+conv,flowers
37,3.815313,0.309848,0.622898,0.080779,0.399513,0.0005,fc+conv,flowers
38,3.817812,0.317054,0.626902,0.076886,0.364964,0.0005,fc+conv,flowers
39,3.715966,0.333066,0.646117,0.078832,0.373723,0.0005,fc+conv,flowers
40,3.676248,0.345877,0.656525,0.078345,0.364964,0.0005,fc+conv,flowers
41,3.615029,0.353082,0.67494,0.072993,0.372263,0.0005,fc+conv,flowers
42,3.549503,0.367494,0.691753,0.070073,0.347932,0.0005,fc+conv,flowers
43,3.451157,0.373899,0.698159,0.072019,0.3309,0.0005,fc+conv,flowers
44,3.406196,0.382706,0.704564,0.07056,0.360097,0.0005,fc+conv,flowers
45,3.34601,0.391513,0.740592,0.0691,0.345985,0.0005,fc+conv,flowers
46,3.220914,0.438751,0.752602,0.072993,0.358151,0.0005,fc+conv,flowers
47,3.085868,0.439552,0.769416,0.075912,0.362044,0.0005,fc+conv,flowers
48,3.047692,0.454764,0.779023,0.069586,0.333333,0.0005,fc+conv,flowers
49,2.973666,0.468375,0.798239,0.0691,0.327007,0.0005,fc+conv,flowers
50,2.850893,0.490793,0.818255,0.067153,0.323114,0.0005,fc+conv,flowers
