epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,1.011213,0.025856,0.122433,0.060792,0.300613,0.0005,fc+conv,flowers
2,1.056277,0.027376,0.151331,0.022309,0.186838,0.0005,fc+conv,flowers
3,0.980689,0.072243,0.156654,0.022867,0.203569,0.0005,fc+conv,flowers
4,0.975639,0.078327,0.222053,0.060792,0.200223,0.0005,fc+conv,flowers
5,0.999722,0.087452,0.218251,0.060792,0.214166,0.0005,fc+conv,flowers
6,0.969925,0.101141,0.255513,0.110987,0.242052,0.0005,fc+conv,flowers
7,0.959444,0.117871,0.274525,0.060792,0.262131,0.0005,fc+conv,flowers
8,0.954748,0.128517,0.339163,0.074735,0.266035,0.0005,fc+conv,flowers
9,0.948153,0.142205,0.314068,0.093698,0.279978,0.0005,fc+conv,flowers
10,0.938175,0.180228,0.342205,0.091467,0.304518,0.0005,fc+conv,flowers
11,0.93744,0.152852,0.332319,0.069158,0.297825,0.0005,fc+conv,flowers
12,0.933307,0.179468,0.368061,0.092582,0.313999,0.0005,fc+conv,flowers
13,0.912327,0.197719,0.358935,0.089236,0.292248,0.0005,fc+conv,flowers
14,0.900672,0.211407,0.363498,0.090351,0.306748,0.0005,fc+conv,flowers
15,0.887466,0.219772,0.379468,0.108756,0.327384,0.0005,fc+conv,flowers
16,0.87215,0.229658,0.374905,0.089236,0.324596,0.0005,fc+conv,flowers
17,0.854442,0.25019,0.398479,0.074735,0.292805,0.0005,fc+conv,flowers
18,0.833862,0.262357,0.411407,0.081985,0.290017,0.0005,fc+conv,flowers
19,0.81699,0.267681,0.397719,0.066927,0.266592,0.0005,fc+conv,flowers
20,0.801972,0.287452,0.431179,0.060234,0.301171,0.0005,fc+conv,flowers
21,0.790976,0.29962,0.422814,0.040714,0.238148,0.0005,fc+conv,flowers
22,0.779349,0.295817,0.424335,0.046849,0.283882,0.0005,fc+conv,flowers
23,0.772729,0.298859,0.438023,0.043503,0.275516,0.0005,fc+conv,flowers
24,0.761925,0.307985,0.422053,0.059677,0.270496,0.0005,fc+conv,flowers
25,0.753751,0.305703,0.465399,0.049637,0.265477,0.0005,fc+conv,flowers
26,0.74815,0.323954,0.472243,0.045733,0.244841,0.0005,fc+conv,flowers
27,0.744357,0.323194,0.452471,0.054099,0.267708,0.0005,fc+conv,flowers
28,0.729504,0.33384,0.469962,0.08589,0.282766,0.0005,fc+conv,flowers
29,0.731804,0.334601,0.438023,0.070273,0.2599,0.0005,fc+conv,flowers
30,0.714162,0.352852,0.481369,0.042945,0.267708,0.0005,fc+conv,flowers
31,0.70742,0.348289,0.467681,0.067485,0.295036,0.0005,fc+conv,flowers
32,0.703293,0.357414,0.491255,0.041829,0.29894,0.0005,fc+conv,flowers
33,0.694226,0.361217,0.498859,0.054657,0.284997,0.0005,fc+conv,flowers
34,0.687422,0.359696,0.504943,0.058561,0.312326,0.0005,fc+conv,flowers
35,0.680683,0.357414,0.482129,0.041829,0.347462,0.0005,fc+conv,flowers
36,0.675681,0.35057,0.469962,0.035137,0.373118,0.0005,fc+conv,flowers
37,0.676155,0.361217,0.506464,0.047964,0.366983,0.0005,fc+conv,flowers
38,0.667857,0.355894,0.496578,0.03681,0.28667,0.0005,fc+conv,flowers
39,0.664188,0.362738,0.504183,0.036252,0.339096,0.0005,fc+conv,flowers
40,0.657601,0.378707,0.507985,0.049637,0.329057,0.0005,fc+conv,flowers
41,0.652145,0.374144,0.517871,0.039041,0.29894,0.0005,fc+conv,flowers
42,0.648314,0.376426,0.524715,0.053542,0.307864,0.0005,fc+conv,flowers
43,0.645506,0.385551,0.548289,0.034021,0.339096,0.0005,fc+conv,flowers
44,0.641111,0.390114,0.542205,0.033463,0.294479,0.0005,fc+conv,flowers
45,0.635711,0.393156,0.560456,0.040714,0.295036,0.0005,fc+conv,flowers
46,0.630856,0.396198,0.561977,0.048522,0.333519,0.0005,fc+conv,flowers
47,0.62831,0.396958,0.559696,0.048522,0.344674,0.0005,fc+conv,flowers
48,0.625877,0.398479,0.548289,0.049637,0.313441,0.0005,fc+conv,flowers
49,0.621301,0.402281,0.5673,0.065254,0.313441,0.0005,fc+conv,flowers
50,0.61412,0.403802,0.558935,0.061907,0.315672,0.0005,fc+conv,flowers
51,0.612296,0.410646,0.558935,0.066927,0.299498,0.0005,fc+conv,flowers
52,0.60887,0.412167,0.562738,0.066369,0.311768,0.0005,fc+conv,flowers
53,0.606034,0.405323,0.569582,0.067485,0.318461,0.0005,fc+conv,flowers
54,0.605017,0.415209,0.577186,0.065811,0.312883,0.0005,fc+conv,flowers
55,0.601297,0.412167,0.577947,0.067485,0.310095,0.0005,fc+conv,flowers
56,0.598756,0.424335,0.586312,0.05633,0.301171,0.0005,fc+conv,flowers
57,0.594778,0.4327,0.588593,0.061907,0.312883,0.0005,fc+conv,flowers
58,0.589381,0.422053,0.592395,0.060792,0.337423,0.0005,fc+conv,flowers
59,0.589044,0.418251,0.577186,0.059119,0.31623,0.0005,fc+conv,flowers
60,0.587921,0.425095,0.580228,0.060234,0.316788,0.0005,fc+conv,flowers
61,0.585239,0.421293,0.593916,0.063023,0.332404,0.0005,fc+conv,flowers
62,0.583559,0.420532,0.596958,0.067485,0.361405,0.0005,fc+conv,flowers
63,0.58182,0.422814,0.6,0.06135,0.362521,0.0005,fc+conv,flowers
64,0.581726,0.412928,0.589354,0.073062,0.349136,0.0005,fc+conv,flowers
65,0.582716,0.428137,0.59924,0.068042,0.380926,0.0005,fc+conv,flowers
66,0.580891,0.428137,0.602281,0.060792,0.375906,0.0005,fc+conv,flowers
67,0.579352,0.4327,0.608365,0.064138,0.392638,0.0005,fc+conv,flowers
68,0.579711,0.422053,0.585551,0.078081,0.382599,0.0005,fc+conv,flowers
69,0.579919,0.436502,0.603802,0.069158,0.407697,0.0005,fc+conv,flowers
