epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,21.954799,0.007891,0.028932,0.025521,0.128881,0.0005,fc+conv,cub
2,2.742779,0.008417,0.031036,0.025521,0.11527,0.0005,fc+conv,cub
3,2.372048,0.010521,0.046817,0.025521,0.119949,0.0005,fc+conv,cub
4,2.477565,0.007891,0.032088,0.025521,0.114845,0.0005,fc+conv,cub
5,3.167372,0.006312,0.037875,0.025521,0.119098,0.0005,fc+conv,cub
6,2.390236,0.012625,0.061021,0.025521,0.119098,0.0005,fc+conv,cub
7,2.284897,0.02262,0.101526,0.025521,0.119098,0.0005,fc+conv,cub
8,2.238997,0.02525,0.11152,0.025521,0.118673,0.0005,fc+conv,cub
9,2.223853,0.026828,0.125723,0.025521,0.119098,0.0005,fc+conv,cub
10,2.213096,0.046817,0.163598,0.025521,0.118673,0.0005,fc+conv,cub
11,2.202655,0.044187,0.182009,0.025521,0.118673,0.0005,fc+conv,cub
12,2.187594,0.05576,0.198317,0.025521,0.119524,0.0005,fc+conv,cub
13,2.183023,0.041031,0.19516,0.025521,0.118248,0.0005,fc+conv,cub
14,2.177129,0.069437,0.248816,0.025521,0.119949,0.0005,fc+conv,cub
15,2.172794,0.080484,0.264072,0.025521,0.118673,0.0005,fc+conv,cub
16,2.313013,0.034719,0.13151,0.025521,0.119524,0.0005,fc+conv,cub
17,2.184045,0.08627,0.302998,0.025521,0.123777,0.0005,fc+conv,cub
18,2.154715,0.133614,0.394529,0.025521,0.119098,0.0005,fc+conv,cub
19,2.155219,0.119937,0.367701,0.025521,0.128456,0.0005,fc+conv,cub
20,2.140441,0.101526,0.362967,0.025946,0.132709,0.0005,fc+conv,cub
21,2.232944,0.10889,0.380326,0.027648,0.128456,0.0005,fc+conv,cub
22,2.136592,0.178853,0.48343,0.028924,0.139515,0.0005,fc+conv,cub
23,2.123816,0.190426,0.504471,0.031051,0.146321,0.0005,fc+conv,cub
24,2.127765,0.177801,0.467123,0.029775,0.148873,0.0005,fc+conv,cub
25,2.115011,0.233035,0.56181,0.033177,0.156529,0.0005,fc+conv,cub
26,2.115256,0.20989,0.540768,0.034879,0.173969,0.0005,fc+conv,cub
27,2.102103,0.270384,0.604419,0.032752,0.180349,0.0005,fc+conv,cub
28,2.094409,0.286691,0.646502,0.033603,0.187154,0.0005,fc+conv,cub
29,2.084524,0.281431,0.631247,0.033177,0.203743,0.0005,fc+conv,cub
30,2.085448,0.304577,0.660705,0.031901,0.203318,0.0005,fc+conv,cub
31,2.070912,0.332983,0.684903,0.025521,0.199064,0.0005,fc+conv,cub
32,2.061915,0.320884,0.70384,0.025521,0.21778,0.0005,fc+conv,cub
33,2.071342,0.289847,0.647028,0.026797,0.224585,0.0005,fc+conv,cub
34,2.108076,0.30405,0.635981,0.026797,0.242875,0.0005,fc+conv,cub
35,2.084375,0.283009,0.624934,0.037856,0.259889,0.0005,fc+conv,cub
36,2.04651,0.351394,0.712257,0.05402,0.295194,0.0005,fc+conv,cub
37,2.045587,0.373488,0.728038,0.052318,0.27265,0.0005,fc+conv,cub
38,1.996968,0.389795,0.753288,0.079966,0.28541,0.0005,fc+conv,cub
39,1.995676,0.39979,0.760126,0.088473,0.272225,0.0005,fc+conv,cub
40,1.973597,0.409784,0.772225,0.117397,0.309655,0.0005,fc+conv,cub
41,1.958393,0.387691,0.758548,0.118673,0.301574,0.0005,fc+conv,cub
42,1.946533,0.434508,0.781168,0.126755,0.322841,0.0005,fc+conv,cub
43,1.927185,0.453972,0.789058,0.11527,0.308379,0.0005,fc+conv,cub
44,1.912804,0.443977,0.796423,0.110591,0.29732,0.0005,fc+conv,cub
45,1.899301,0.461862,0.800631,0.126329,0.29647,0.0005,fc+conv,cub
46,1.885,0.445029,0.795371,0.123352,0.294768,0.0005,fc+conv,cub
47,1.863725,0.456602,0.805366,0.123352,0.296044,0.0005,fc+conv,cub
48,1.844033,0.469753,0.811678,0.109741,0.278179,0.0005,fc+conv,cub
49,1.812299,0.478169,0.814834,0.116546,0.287112,0.0005,fc+conv,cub
50,1.780991,0.481852,0.814834,0.100808,0.293067,0.0005,fc+conv,cub
51,1.753366,0.506049,0.816938,0.076989,0.262016,0.0005,fc+conv,cub
52,1.710128,0.498159,0.817991,0.088048,0.265844,0.0005,fc+conv,cub
53,1.674066,0.509206,0.813256,0.079966,0.24883,0.0005,fc+conv,cub
54,1.633095,0.51131,0.839032,0.074011,0.26074,0.0005,fc+conv,cub
55,1.58977,0.537612,0.840084,0.07316,0.245853,0.0005,fc+conv,cub
56,1.556191,0.534456,0.822725,0.074011,0.242025,0.0005,fc+conv,cub
57,1.506618,0.531299,0.83798,0.068907,0.232242,0.0005,fc+conv,cub
58,1.465703,0.553393,0.843766,0.067205,0.244577,0.0005,fc+conv,cub
59,1.416861,0.534982,0.833246,0.068056,0.242025,0.0005,fc+conv,cub
60,1.379237,0.560757,0.833772,0.0604,0.235644,0.0005,fc+conv,cub
61,1.327653,0.552341,0.833772,0.057422,0.227563,0.0005,fc+conv,cub
62,1.283229,0.556023,0.841136,0.052744,0.235219,0.0005,fc+conv,cub
