epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,17.599639,0.021293,0.059316,0.060792,0.307306,0.0005,fc+conv,flowers
2,4.119385,0.025095,0.121673,0.022867,0.307306,0.0005,fc+conv,flowers
3,2.837484,0.013688,0.075285,0.038483,0.326827,0.0005,fc+conv,flowers
4,2.352859,0.018251,0.052471,0.022867,0.341327,0.0005,fc+conv,flowers
5,2.387883,0.015209,0.086692,0.022867,0.341885,0.0005,fc+conv,flowers
6,2.263877,0.044867,0.140684,0.025655,0.341885,0.0005,fc+conv,flowers
7,2.35225,0.044106,0.18403,0.022867,0.341885,0.0005,fc+conv,flowers
8,2.225286,0.024335,0.174144,0.052426,0.341885,0.0005,fc+conv,flowers
9,2.282561,0.063118,0.181749,0.076408,0.322922,0.0005,fc+conv,flowers
10,2.23566,0.047148,0.201521,0.142777,0.337981,0.0005,fc+conv,flowers
11,2.420108,0.029658,0.104183,0.095371,0.315114,0.0005,fc+conv,flowers
12,2.202423,0.048669,0.212167,0.139989,0.29894,0.0005,fc+conv,flowers
13,2.323947,0.061597,0.196198,0.126046,0.320692,0.0005,fc+conv,flowers
14,2.181407,0.056274,0.245627,0.139989,0.35527,0.0005,fc+conv,flowers
15,2.170684,0.079848,0.342966,0.140547,0.345789,0.0005,fc+conv,flowers
16,2.215374,0.078327,0.315589,0.139989,0.350251,0.0005,fc+conv,flowers
17,2.725206,0.021293,0.107985,0.033463,0.350251,0.0005,fc+conv,flowers
18,3.493304,0.009886,0.072243,0.030675,0.190742,0.0005,fc+conv,flowers
19,2.572296,0.008365,0.073004,0.030675,0.2058,0.0005,fc+conv,flowers
20,3.930012,0.01673,0.060837,0.022867,0.330173,0.0005,fc+conv,flowers
21,2.456165,0.014449,0.060837,0.050753,0.229782,0.0005,fc+conv,flowers
22,2.218885,0.021293,0.086692,0.025655,0.2058,0.0005,fc+conv,flowers
23,2.183094,0.027376,0.113308,0.023424,0.208589,0.0005,fc+conv,flowers
24,2.184805,0.045627,0.147529,0.029002,0.216397,0.0005,fc+conv,flowers
25,2.208042,0.05019,0.193916,0.037368,0.263804,0.0005,fc+conv,flowers
26,2.165199,0.072243,0.206084,0.041272,0.26715,0.0005,fc+conv,flowers
27,2.183749,0.068441,0.202281,0.057446,0.320134,0.0005,fc+conv,flowers
28,2.228294,0.075285,0.198479,0.060234,0.293363,0.0005,fc+conv,flowers
29,2.144982,0.087452,0.207605,0.062465,0.313441,0.0005,fc+conv,flowers
30,2.150131,0.08289,0.218251,0.075851,0.318461,0.0005,fc+conv,flowers
31,2.249064,0.080608,0.219772,0.069716,0.301729,0.0005,fc+conv,flowers
32,2.132954,0.092015,0.226616,0.055215,0.297267,0.0005,fc+conv,flowers
33,2.128833,0.093536,0.241825,0.05633,0.320134,0.0005,fc+conv,flowers
34,2.147037,0.091255,0.240304,0.058561,0.325153,0.0005,fc+conv,flowers
35,2.408401,0.062357,0.19924,0.081985,0.317345,0.0005,fc+conv,flowers
36,3.476913,0.041825,0.171103,0.049637,0.384272,0.0005,fc+conv,flowers
37,2.438338,0.073764,0.188593,0.049637,0.24763,0.0005,fc+conv,flowers
38,2.175749,0.077567,0.21597,0.055772,0.258226,0.0005,fc+conv,flowers
39,2.184638,0.093536,0.250951,0.055772,0.306191,0.0005,fc+conv,flowers
40,2.189265,0.095817,0.247148,0.054657,0.338539,0.0005,fc+conv,flowers
41,2.134728,0.095817,0.255513,0.046849,0.336308,0.0005,fc+conv,flowers
42,2.129226,0.104183,0.270722,0.050195,0.364752,0.0005,fc+conv,flowers
43,2.146135,0.110266,0.277567,0.055215,0.361405,0.0005,fc+conv,flowers
44,2.22737,0.097338,0.285171,0.06135,0.380926,0.0005,fc+conv,flowers
45,2.113913,0.101901,0.282129,0.077524,0.396542,0.0005,fc+conv,flowers
46,2.16743,0.104183,0.284411,0.064138,0.353597,0.0005,fc+conv,flowers
47,2.147402,0.109506,0.302662,0.091467,0.389292,0.0005,fc+conv,flowers
48,2.38682,0.073004,0.23346,0.095371,0.326269,0.0005,fc+conv,flowers
49,3.22188,0.046388,0.181749,0.03179,0.237591,0.0005,fc+conv,flowers
50,2.276623,0.051711,0.184791,0.113218,0.452872,0.0005,fc+conv,flowers
51,2.159221,0.091255,0.270722,0.073062,0.427775,0.0005,fc+conv,flowers
52,2.153969,0.089734,0.31711,0.102621,0.419409,0.0005,fc+conv,flowers
53,2.414401,0.038783,0.126236,0.069716,0.239264,0.0005,fc+conv,flowers
54,2.75952,0.020532,0.136882,0.035137,0.273843,0.0005,fc+conv,flowers
55,2.258046,0.069202,0.203042,0.054099,0.295594,0.0005,fc+conv,flowers
56,2.123736,0.101141,0.256274,0.050195,0.357501,0.0005,fc+conv,flowers
57,3.029882,0.085171,0.218251,0.041829,0.309537,0.0005,fc+conv,flowers
58,2.23963,0.092776,0.244867,0.097602,0.235917,0.0005,fc+conv,flowers
59,2.112508,0.114829,0.291255,0.045176,0.22309,0.0005,fc+conv,flowers
60,2.09586,0.11635,0.303422,0.046849,0.234802,0.0005,fc+conv,flowers
61,2.13991,0.117871,0.311027,0.044618,0.23536,0.0005,fc+conv,flowers
62,2.35556,0.098099,0.273764,0.04908,0.294479,0.0005,fc+conv,flowers
63,3.236215,0.093536,0.227376,0.034021,0.222532,0.0005,fc+conv,flowers
64,2.227195,0.130798,0.271483,0.103737,0.231456,0.0005,fc+conv,flowers
65,2.171107,0.114068,0.295817,0.069716,0.243726,0.0005,fc+conv,flowers
66,2.125366,0.123954,0.303422,0.066369,0.255438,0.0005,fc+conv,flowers
67,2.604375,0.078327,0.212167,0.038483,0.301729,0.0005,fc+conv,flowers
68,3.706369,0.031939,0.077567,0.06135,0.261015,0.0005,fc+conv,flowers
69,2.397287,0.094297,0.185551,0.030675,0.244841,0.0005,fc+conv,flowers
