epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,0.973172,0.216202,0.56181,0.168014,0.46023,0.0001,fc,cub
2,0.924983,0.320884,0.735928,0.220332,0.514249,0.0001,fc,cub
3,0.891701,0.370331,0.779064,0.237771,0.540196,0.0001,fc,cub
4,0.865495,0.39979,0.802735,0.258613,0.564866,0.0001,fc,cub
5,0.843987,0.427144,0.815886,0.257337,0.555083,0.0001,fc,cub
6,0.825533,0.440295,0.833246,0.259464,0.562739,0.0001,fc,cub
7,0.810085,0.448185,0.833772,0.267546,0.563165,0.0001,fc,cub
8,0.797558,0.449763,0.833246,0.261591,0.564441,0.0001,fc,cub
9,0.786623,0.452393,0.826933,0.26712,0.564015,0.0001,fc,cub
10,0.777304,0.457128,0.827985,0.261165,0.552956,0.0001,fc,cub
11,0.769364,0.453446,0.832194,0.262016,0.55806,0.0001,fc,cub
12,0.762606,0.460284,0.828511,0.256912,0.549553,0.0001,fc,cub
13,0.756607,0.451867,0.81536,0.26712,0.562314,0.0001,fc,cub
14,0.75117,0.456602,0.821147,0.265419,0.558911,0.0001,fc,cub
15,0.746474,0.448711,0.811152,0.262867,0.551255,0.0001,fc,cub
16,0.74233,0.449763,0.810626,0.262016,0.549553,0.0001,fc,cub
17,0.738582,0.446081,0.802209,0.270523,0.555934,0.0001,fc,cub
18,0.734798,0.443451,0.805366,0.263292,0.550829,0.0001,fc,cub
19,0.731524,0.443451,0.798527,0.26627,0.549553,0.0001,fc,cub
20,0.728568,0.43556,0.796423,0.265419,0.548277,0.0001,fc,cub
21,0.725847,0.435034,0.791689,0.265844,0.541897,0.0001,fc,cub
22,0.723274,0.43293,0.791163,0.265844,0.53977,0.0001,fc,cub
23,0.720818,0.436612,0.79011,0.263292,0.53892,0.0001,fc,cub
24,0.718804,0.428722,0.783798,0.262016,0.53339,0.0001,fc,cub
25,0.716578,0.427144,0.776959,0.256912,0.534241,0.0001,fc,cub
26,0.7147,0.431878,0.777486,0.256061,0.534241,0.0001,fc,cub
27,0.712944,0.423987,0.770121,0.259464,0.536368,0.0001,fc,cub
28,0.711379,0.4303,0.768543,0.26074,0.530838,0.0001,fc,cub
29,0.709794,0.426092,0.769595,0.256912,0.532965,0.0001,fc,cub
30,0.70842,0.420831,0.764335,0.250957,0.530838,0.0001,fc,cub
31,0.706879,0.422409,0.764335,0.255636,0.532965,0.0001,fc,cub
32,0.705702,0.418727,0.758548,0.252658,0.528286,0.0001,fc,cub
33,0.704757,0.415045,0.760126,0.254785,0.534666,0.0001,fc,cub
34,0.703531,0.416097,0.759074,0.251382,0.529137,0.0001,fc,cub
35,0.702358,0.413467,0.754866,0.252233,0.532114,0.0001,fc,cub
36,0.701426,0.413993,0.75697,0.24798,0.528286,0.0001,fc,cub
37,0.700501,0.415571,0.75697,0.245002,0.523607,0.0001,fc,cub
38,0.699643,0.413993,0.75171,0.24245,0.524458,0.0001,fc,cub
39,0.698795,0.415571,0.75434,0.245427,0.522331,0.0001,fc,cub
40,0.698061,0.414519,0.753814,0.247129,0.521906,0.0001,fc,cub
41,0.697293,0.413467,0.750658,0.241174,0.510421,0.0001,fc,cub
42,0.696601,0.411888,0.749605,0.24245,0.524458,0.0001,fc,cub
43,0.695972,0.413467,0.744871,0.239898,0.514249,0.0001,fc,cub
44,0.69536,0.406628,0.750658,0.239047,0.514675,0.0001,fc,cub
45,0.694794,0.409258,0.741189,0.239473,0.520204,0.0001,fc,cub
46,0.694393,0.410836,0.740137,0.237346,0.513824,0.0001,fc,cub
47,0.693796,0.412941,0.739611,0.239898,0.512548,0.0001,fc,cub
48,0.693284,0.410836,0.744871,0.23692,0.512123,0.0001,fc,cub
49,0.692841,0.40768,0.738559,0.23607,0.509145,0.0001,fc,cub
50,0.69247,0.409258,0.739611,0.234368,0.511272,0.0001,fc,cub
