epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,53.406311,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
2,5.404897,0.006312,0.031562,0.025521,0.123352,0.0001,fc,cub
3,3.892129,0.006312,0.031562,0.025521,0.122926,0.0001,fc,cub
4,3.091111,0.006312,0.03051,0.025521,0.128456,0.0001,fc,cub
5,2.925249,0.006312,0.03051,0.025521,0.114845,0.0001,fc,cub
6,2.817481,0.006312,0.029458,0.025521,0.119524,0.0001,fc,cub
7,2.731954,0.006312,0.037349,0.025521,0.119098,0.0001,fc,cub
8,2.654501,0.013677,0.041031,0.025521,0.119098,0.0001,fc,cub
9,2.592101,0.006312,0.043661,0.025521,0.119098,0.0001,fc,cub
10,2.527956,0.014729,0.049448,0.025521,0.119098,0.0001,fc,cub
11,2.469478,0.011573,0.051552,0.025521,0.119098,0.0001,fc,cub
12,2.422551,0.024198,0.077854,0.025521,0.119098,0.0001,fc,cub
13,2.382679,0.020516,0.07838,0.025521,0.119098,0.0001,fc,cub
14,2.365994,0.02525,0.079432,0.025521,0.119098,0.0001,fc,cub
15,2.33222,0.021568,0.094687,0.025521,0.119098,0.0001,fc,cub
16,2.319951,0.039979,0.117833,0.025521,0.119098,0.0001,fc,cub
17,2.298515,0.036297,0.109942,0.025521,0.119098,0.0001,fc,cub
18,2.298918,0.04787,0.129406,0.025521,0.119098,0.0001,fc,cub
19,2.278922,0.032088,0.133088,0.025521,0.119098,0.0001,fc,cub
20,2.263167,0.039979,0.140452,0.025521,0.119098,0.0001,fc,cub
21,2.263458,0.037875,0.150447,0.025521,0.119098,0.0001,fc,cub
22,2.256734,0.053656,0.171489,0.025521,0.119098,0.0001,fc,cub
23,2.24402,0.0505,0.158864,0.025521,0.119098,0.0001,fc,cub
24,2.236016,0.070489,0.199895,0.025521,0.119098,0.0001,fc,cub
25,2.228525,0.076276,0.197791,0.025521,0.119098,0.0001,fc,cub
26,2.231353,0.078906,0.236718,0.025521,0.119098,0.0001,fc,cub
27,2.215976,0.087849,0.237244,0.025521,0.119098,0.0001,fc,cub
28,2.213639,0.077854,0.246186,0.025521,0.119098,0.0001,fc,cub
29,2.210402,0.08364,0.257759,0.025521,0.119098,0.0001,fc,cub
30,2.206101,0.098369,0.280379,0.025521,0.119098,0.0001,fc,cub
31,2.196731,0.099947,0.293004,0.025521,0.119098,0.0001,fc,cub
32,2.210534,0.103104,0.32667,0.025521,0.119098,0.0001,fc,cub
33,2.193382,0.106786,0.288795,0.025521,0.119098,0.0001,fc,cub
34,2.188147,0.094687,0.316149,0.025521,0.119098,0.0001,fc,cub
35,2.20883,0.10626,0.338769,0.025521,0.119098,0.0001,fc,cub
36,2.17809,0.11415,0.361389,0.025521,0.119098,0.0001,fc,cub
37,2.170495,0.123093,0.358759,0.025521,0.119098,0.0001,fc,cub
38,2.171813,0.11415,0.342451,0.025521,0.119098,0.0001,fc,cub
39,2.175229,0.113624,0.334035,0.025521,0.119098,0.0001,fc,cub
40,2.185149,0.12888,0.373488,0.025521,0.119098,0.0001,fc,cub
41,2.184462,0.118885,0.336139,0.025521,0.119098,0.0001,fc,cub
42,2.153246,0.148869,0.433456,0.025521,0.119098,0.0001,fc,cub
43,2.151314,0.155708,0.436612,0.025521,0.119098,0.0001,fc,cub
44,2.141698,0.178853,0.478169,0.025521,0.119098,0.0001,fc,cub
45,2.14528,0.199369,0.501315,0.025521,0.119098,0.0001,fc,cub
46,2.14346,0.172015,0.475013,0.025521,0.119098,0.0001,fc,cub
47,2.133718,0.207785,0.512888,0.025521,0.119098,0.0001,fc,cub
48,2.131106,0.176223,0.508154,0.025521,0.119098,0.0001,fc,cub
49,2.124499,0.19516,0.540768,0.025521,0.119949,0.0001,fc,cub
50,2.127455,0.217254,0.549711,0.025946,0.119524,0.0001,fc,cub
51,2.123348,0.221462,0.54708,0.025521,0.119098,0.0001,fc,cub
52,2.115384,0.237244,0.581799,0.025521,0.12165,0.0001,fc,cub
53,2.111559,0.24566,0.590216,0.025521,0.122076,0.0001,fc,cub
54,2.115006,0.244082,0.599684,0.025946,0.125053,0.0001,fc,cub
55,2.104905,0.250395,0.600736,0.028499,0.125479,0.0001,fc,cub
56,2.100236,0.292478,0.641767,0.025946,0.132284,0.0001,fc,cub
57,2.106121,0.263019,0.614413,0.026372,0.133986,0.0001,fc,cub
58,2.101129,0.285639,0.658601,0.025946,0.138664,0.0001,fc,cub
59,2.10139,0.309837,0.667543,0.025946,0.142067,0.0001,fc,cub
60,2.091143,0.294056,0.667017,0.028924,0.149298,0.0001,fc,cub
61,2.085749,0.319832,0.697002,0.028499,0.150149,0.0001,fc,cub
62,2.085055,0.310889,0.700158,0.027222,0.149298,0.0001,fc,cub
63,2.078283,0.320884,0.701736,0.028073,0.151,0.0001,fc,cub
64,2.078305,0.332457,0.70384,0.028073,0.146321,0.0001,fc,cub
65,2.07538,0.344555,0.715413,0.026372,0.148873,0.0001,fc,cub
66,2.076823,0.340873,0.718043,0.028499,0.148447,0.0001,fc,cub
67,2.099804,0.331405,0.711731,0.026797,0.144619,0.0001,fc,cub
68,2.069022,0.355602,0.741189,0.027222,0.143343,0.0001,fc,cub
69,2.064353,0.363493,0.735402,0.029775,0.137814,0.0001,fc,cub
70,2.066572,0.360337,0.722777,0.027648,0.135687,0.0001,fc,cub
71,2.073193,0.344555,0.710679,0.029775,0.136538,0.0001,fc,cub
72,2.059197,0.360863,0.748027,0.028924,0.131008,0.0001,fc,cub
73,2.04939,0.385587,0.760126,0.029775,0.131859,0.0001,fc,cub
74,2.060243,0.3293,0.738559,0.030625,0.129732,0.0001,fc,cub
75,2.048083,0.393477,0.763809,0.028499,0.129732,0.0001,fc,cub
76,2.036673,0.388217,0.768543,0.0302,0.130583,0.0001,fc,cub
77,2.034042,0.408206,0.776433,0.028924,0.132709,0.0001,fc,cub
78,2.02935,0.411888,0.764861,0.0302,0.136538,0.0001,fc,cub
79,2.020962,0.423461,0.775381,0.028924,0.13994,0.0001,fc,cub
80,2.017172,0.419779,0.793267,0.028073,0.151,0.0001,fc,cub
81,2.010895,0.433456,0.78485,0.028073,0.155253,0.0001,fc,cub
82,2.004442,0.416097,0.794319,0.027222,0.155253,0.0001,fc,cub
