epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,31.34982,0.020911,0.065721,0.024783,0.193928,0.0001,fc,flowers
2,6.194341,0.020911,0.066468,0.024783,0.193928,0.0001,fc,flowers
3,5.454588,0.020911,0.123973,0.024783,0.258364,0.0001,fc,flowers
4,5.298087,0.020911,0.156833,0.024783,0.241636,0.0001,fc,flowers
5,5.28283,0.038088,0.156833,0.024783,0.241636,0.0001,fc,flowers
6,5.270608,0.038088,0.15534,0.024783,0.241636,0.0001,fc,flowers
7,5.262824,0.038088,0.164302,0.024783,0.241636,0.0001,fc,flowers
8,5.269233,0.038088,0.163555,0.024783,0.241636,0.0001,fc,flowers
9,5.265213,0.038088,0.163555,0.024783,0.241636,0.0001,fc,flowers
10,5.276479,0.038088,0.163555,0.024783,0.241636,0.0001,fc,flowers
11,5.27543,0.038835,0.164302,0.024783,0.241636,0.0001,fc,flowers
12,5.277139,0.04481,0.174757,0.024783,0.241636,0.0001,fc,flowers
13,5.272843,0.071695,0.173264,0.024783,0.241636,0.0001,fc,flowers
14,5.277112,0.057506,0.160568,0.024783,0.241636,0.0001,fc,flowers
15,5.275963,0.055265,0.162808,0.024783,0.241636,0.0001,fc,flowers
16,5.282391,0.050784,0.160568,0.024783,0.241636,0.0001,fc,flowers
17,5.27276,0.070202,0.180732,0.024783,0.241636,0.0001,fc,flowers
18,5.271967,0.050784,0.165795,0.024783,0.241636,0.0001,fc,flowers
19,5.27658,0.048544,0.168036,0.024783,0.241636,0.0001,fc,flowers
20,5.267476,0.064974,0.186706,0.024783,0.241636,0.0001,fc,flowers
21,5.269326,0.068708,0.187453,0.024783,0.241636,0.0001,fc,flowers
22,5.26457,0.069455,0.188947,0.024783,0.241636,0.0001,fc,flowers
23,5.255704,0.068708,0.194175,0.024783,0.241636,0.0001,fc,flowers
24,5.249049,0.073189,0.209858,0.024783,0.241636,0.0001,fc,flowers
25,5.234825,0.074683,0.225541,0.024783,0.241636,0.0001,fc,flowers
26,5.218663,0.074683,0.244959,0.024783,0.241636,0.0001,fc,flowers
27,5.18606,0.093353,0.256908,0.024783,0.229864,0.0001,fc,flowers
28,5.120637,0.106796,0.285288,0.024783,0.209418,0.0001,fc,flowers
29,5.034229,0.097834,0.299477,0.024783,0.198265,0.0001,fc,flowers
30,4.945058,0.116505,0.328603,0.024783,0.210657,0.0001,fc,flowers
31,4.846967,0.138163,0.365198,0.030359,0.224287,0.0001,fc,flowers
32,4.696931,0.12696,0.401792,0.041512,0.238538,0.0001,fc,flowers
33,4.581096,0.129948,0.415982,0.04399,0.27881,0.0001,fc,flowers
34,4.470062,0.135922,0.436146,0.045849,0.290582,0.0001,fc,flowers
35,4.409655,0.144884,0.457058,0.047088,0.299876,0.0001,fc,flowers
36,4.366076,0.151606,0.4705,0.048327,0.302974,0.0001,fc,flowers
37,4.322463,0.160568,0.483943,0.050805,0.313507,0.0001,fc,flowers
38,4.285847,0.162061,0.491412,0.047088,0.307311,0.0001,fc,flowers
39,4.213064,0.168036,0.504854,0.045849,0.312268,0.0001,fc,flowers
40,4.159263,0.18596,0.516057,0.045229,0.311648,0.0001,fc,flowers
41,4.131172,0.193428,0.5295,0.046468,0.320942,0.0001,fc,flowers
42,4.099508,0.20463,0.536968,0.04399,0.320322,0.0001,fc,flowers
43,4.049046,0.211352,0.542196,0.045849,0.320942,0.0001,fc,flowers
44,4.026738,0.222554,0.557132,0.045229,0.320322,0.0001,fc,flowers
45,3.988908,0.227035,0.566094,0.047708,0.328996,0.0001,fc,flowers
46,3.939506,0.229276,0.574309,0.050186,0.3228,0.0001,fc,flowers
47,3.88694,0.229276,0.583271,0.050805,0.3228,0.0001,fc,flowers
48,3.83804,0.241225,0.604929,0.051425,0.320322,0.0001,fc,flowers
49,3.787745,0.242718,0.615385,0.050805,0.318463,0.0001,fc,flowers
50,3.727578,0.250187,0.633308,0.050186,0.317844,0.0001,fc,flowers
51,3.694048,0.261389,0.646004,0.047088,0.310409,0.0001,fc,flowers
52,3.642293,0.271098,0.666916,0.047708,0.310409,0.0001,fc,flowers
53,3.590183,0.283047,0.684093,0.046468,0.309789,0.0001,fc,flowers
54,3.532853,0.293503,0.693801,0.047708,0.307311,0.0001,fc,flowers
55,3.477829,0.304705,0.714712,0.048327,0.305452,0.0001,fc,flowers
56,3.415268,0.319642,0.723674,0.047708,0.311648,0.0001,fc,flowers
57,3.349262,0.339059,0.733383,0.045849,0.313507,0.0001,fc,flowers
58,3.289132,0.353996,0.741598,0.045849,0.315985,0.0001,fc,flowers
59,3.22731,0.368185,0.758028,0.046468,0.318463,0.0001,fc,flowers
60,3.170385,0.378641,0.772218,0.045849,0.321561,0.0001,fc,flowers
61,3.125422,0.386109,0.784914,0.045849,0.330855,0.0001,fc,flowers
62,3.072769,0.401792,0.791636,0.04399,0.331475,0.0001,fc,flowers
63,3.015201,0.413742,0.802091,0.042751,0.33891,0.0001,fc,flowers
64,2.947115,0.430172,0.807319,0.043371,0.343247,0.0001,fc,flowers
65,2.897272,0.442121,0.8118,0.045849,0.346344,0.0001,fc,flowers
66,2.846795,0.448096,0.822255,0.045849,0.347584,0.0001,fc,flowers
67,2.78362,0.462285,0.824496,0.04461,0.348823,0.0001,fc,flowers
68,2.743297,0.469754,0.829724,0.046468,0.347584,0.0001,fc,flowers
