epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,48.881743,0.006326,0.031629,0.025284,0.12263,0.0001,fc,cub
2,8.137691,0.006326,0.030575,0.022335,0.123051,0.0001,fc,cub
3,6.862858,0.006326,0.030575,0.022335,0.123051,0.0001,fc,cub
4,6.658516,0.006326,0.031629,0.022335,0.123472,0.0001,fc,cub
5,6.586731,0.006326,0.031629,0.025284,0.123472,0.0001,fc,cub
6,6.544865,0.006326,0.031629,0.025284,0.123472,0.0001,fc,cub
7,6.506094,0.006326,0.031629,0.025284,0.123472,0.0001,fc,cub
8,6.468266,0.006326,0.031629,0.025284,0.123472,0.0001,fc,cub
9,6.437544,0.006326,0.031629,0.025284,0.123472,0.0001,fc,cub
10,6.410848,0.006326,0.0369,0.025284,0.123472,0.0001,fc,cub
11,6.385336,0.006326,0.03321,0.025284,0.123472,0.0001,fc,cub
12,6.362139,0.006326,0.0369,0.025284,0.123472,0.0001,fc,cub
13,6.339971,0.006326,0.039536,0.025284,0.123472,0.0001,fc,cub
14,6.31801,0.006326,0.043226,0.025284,0.123472,0.0001,fc,cub
15,6.295384,0.006326,0.041645,0.025284,0.123472,0.0001,fc,cub
16,6.270673,0.01107,0.053769,0.025284,0.123472,0.0001,fc,cub
17,6.23715,0.015287,0.061676,0.025284,0.123472,0.0001,fc,cub
18,6.16469,0.019504,0.082235,0.033713,0.135693,0.0001,fc,cub
19,5.955684,0.019504,0.102267,0.038348,0.171934,0.0001,fc,cub
20,5.705248,0.024249,0.102794,0.049726,0.212389,0.0001,fc,cub
21,5.547262,0.02952,0.127043,0.064897,0.217446,0.0001,fc,cub
22,5.45001,0.032156,0.139167,0.067004,0.226296,0.0001,fc,cub
23,5.384157,0.037428,0.161307,0.066582,0.23641,0.0001,fc,cub
24,5.326188,0.045862,0.1903,0.06574,0.245681,0.0001,fc,cub
25,5.273922,0.046916,0.213495,0.067004,0.250316,0.0001,fc,cub
26,5.213938,0.063258,0.245124,0.067004,0.259166,0.0001,fc,cub
27,5.12954,0.075909,0.283079,0.076275,0.257901,0.0001,fc,cub
28,4.982833,0.088034,0.305746,0.07796,0.286979,0.0001,fc,cub
29,4.785951,0.107538,0.352135,0.089338,0.317741,0.0001,fc,cub
30,4.637321,0.122298,0.374275,0.09271,0.33544,0.0001,fc,cub
31,4.529691,0.122826,0.406431,0.093974,0.342604,0.0001,fc,cub
32,4.450903,0.13495,0.432261,0.093974,0.345554,0.0001,fc,cub
33,4.362195,0.143911,0.444386,0.09566,0.356089,0.0001,fc,cub
34,4.272441,0.147074,0.473906,0.09271,0.369996,0.0001,fc,cub
35,4.186844,0.163416,0.499209,0.091445,0.38011,0.0001,fc,cub
36,4.082661,0.177122,0.531365,0.085124,0.386009,0.0001,fc,cub
37,3.980829,0.188192,0.544544,0.085546,0.382217,0.0001,fc,cub
38,3.884858,0.219294,0.579863,0.087653,0.384324,0.0001,fc,cub
39,3.783405,0.217712,0.59146,0.088074,0.388116,0.0001,fc,cub
40,3.701858,0.238271,0.608856,0.090181,0.384745,0.0001,fc,cub
41,3.618741,0.238798,0.61729,0.091445,0.39528,0.0001,fc,cub
42,3.55818,0.261465,0.639958,0.091024,0.388959,0.0001,fc,cub
43,3.482841,0.274644,0.647865,0.09271,0.398651,0.0001,fc,cub
44,3.417005,0.294676,0.668424,0.093131,0.397809,0.0001,fc,cub
45,3.344841,0.302056,0.672641,0.093552,0.40413,0.0001,fc,cub
46,3.272954,0.313653,0.686347,0.09566,0.412558,0.0001,fc,cub
