epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,15.816706,0.019476,0.090637,0.081113,0.330373,0.0005,fc+conv,flowers
2,6.600209,0.038202,0.146067,0.10894,0.330373,0.0005,fc+conv,flowers
3,5.775889,0.038202,0.161798,0.067496,0.330373,0.0005,fc+conv,flowers
4,5.57416,0.038202,0.161798,0.064535,0.330373,0.0005,fc+conv,flowers
5,5.465904,0.038202,0.161798,0.064535,0.330373,0.0005,fc+conv,flowers
6,5.438783,0.038202,0.162547,0.067496,0.330373,0.0005,fc+conv,flowers
7,5.445421,0.038951,0.164794,0.110124,0.326821,0.0005,fc+conv,flowers
8,5.454964,0.044195,0.170037,0.10894,0.284192,0.0005,fc+conv,flowers
9,5.451824,0.045693,0.179775,0.10894,0.28656,0.0005,fc+conv,flowers
10,5.423601,0.049438,0.187266,0.10894,0.261693,0.0005,fc+conv,flowers
11,5.363995,0.068914,0.219476,0.10894,0.273535,0.0005,fc+conv,flowers
12,5.293252,0.058427,0.244944,0.10894,0.317348,0.0005,fc+conv,flowers
13,5.202864,0.095131,0.256929,0.133807,0.268206,0.0005,fc+conv,flowers
14,5.077185,0.069663,0.280899,0.142096,0.313203,0.0005,fc+conv,flowers
15,4.953233,0.094382,0.275655,0.088218,0.259917,0.0005,fc+conv,flowers
16,4.91452,0.110861,0.3603,0.074008,0.314979,0.0005,fc+conv,flowers
17,4.838302,0.094382,0.28764,0.05151,0.337478,0.0005,fc+conv,flowers
18,4.820648,0.103371,0.365543,0.032564,0.291889,0.0005,fc+conv,flowers
19,4.566748,0.156554,0.397753,0.049142,0.294849,0.0005,fc+conv,flowers
20,4.461942,0.147566,0.444195,0.067496,0.315571,0.0005,fc+conv,flowers
21,4.34657,0.188015,0.438202,0.073416,0.357016,0.0005,fc+conv,flowers
22,4.407756,0.251685,0.473408,0.05743,0.345767,0.0005,fc+conv,flowers
23,4.103935,0.236704,0.526592,0.062759,0.366489,0.0005,fc+conv,flowers
24,3.979501,0.268165,0.580524,0.079337,0.3955,0.0005,fc+conv,flowers
25,3.834251,0.305618,0.633708,0.052102,0.366489,0.0005,fc+conv,flowers
26,3.647277,0.310861,0.691386,0.076377,0.373594,0.0005,fc+conv,flowers
27,3.49554,0.36779,0.722097,0.093546,0.40971,0.0005,fc+conv,flowers
28,3.350683,0.402996,0.749064,0.099467,0.405565,0.0005,fc+conv,flowers
29,3.223356,0.435955,0.768539,0.094731,0.407934,0.0005,fc+conv,flowers
30,3.024366,0.468914,0.782022,0.091178,0.40971,0.0005,fc+conv,flowers
31,2.922956,0.482397,0.797004,0.117821,0.400829,0.0005,fc+conv,flowers
32,2.823701,0.509363,0.82397,0.119005,0.40675,0.0005,fc+conv,flowers
