epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,18.203151,0.021807,0.087227,0.035256,0.267628,0.0005,conv,flowers
2,5.749574,0.03972,0.14486,0.137821,0.267628,0.0005,conv,flowers
3,5.395794,0.03972,0.147975,0.137821,0.267628,0.0005,conv,flowers
4,5.416199,0.03972,0.14486,0.137821,0.267628,0.0005,conv,flowers
5,5.513083,0.03972,0.14486,0.137821,0.267628,0.0005,conv,flowers
6,5.583473,0.03972,0.130841,0.137821,0.267628,0.0005,conv,flowers
7,5.617113,0.03972,0.145639,0.137821,0.267628,0.0005,conv,flowers
8,5.62532,0.03972,0.155763,0.137821,0.267628,0.0005,conv,flowers
9,5.611677,0.03972,0.14486,0.137821,0.267628,0.0005,conv,flowers
10,5.569085,0.033489,0.169003,0.030983,0.310897,0.0005,conv,flowers
11,5.497489,0.027259,0.110592,0.137821,0.248397,0.0005,conv,flowers
12,5.514108,0.054517,0.174455,0.131944,0.300214,0.0005,conv,flowers
13,5.596393,0.058411,0.201713,0.137821,0.338141,0.0005,conv,flowers
14,5.398456,0.028037,0.225857,0.114316,0.353632,0.0005,conv,flowers
15,5.122193,0.062305,0.247664,0.055021,0.439103,0.0005,conv,flowers
16,4.949598,0.102804,0.352804,0.159188,0.433226,0.0005,conv,flowers
17,5.040981,0.109813,0.392523,0.096154,0.355769,0.0005,conv,flowers
18,4.752692,0.107477,0.403427,0.086004,0.407051,0.0005,conv,flowers
19,4.691847,0.120717,0.44081,0.108974,0.420406,0.0005,conv,flowers
20,4.749169,0.110592,0.407321,0.116453,0.484509,0.0005,conv,flowers
21,4.750058,0.13162,0.456386,0.081197,0.457265,0.0005,conv,flowers
22,4.580862,0.138629,0.451713,0.088675,0.398504,0.0005,conv,flowers
23,4.577419,0.139408,0.489875,0.105235,0.4375,0.0005,conv,flowers
24,4.52878,0.126947,0.464174,0.104167,0.485043,0.0005,conv,flowers
25,4.524995,0.152648,0.498442,0.075321,0.455662,0.0005,conv,flowers
26,4.414127,0.149533,0.501558,0.081197,0.449252,0.0005,conv,flowers
27,4.384503,0.152648,0.507009,0.07906,0.404915,0.0005,conv,flowers
28,4.383969,0.155763,0.520249,0.080128,0.442308,0.0005,conv,flowers
29,4.290643,0.172897,0.485202,0.078526,0.403312,0.0005,conv,flowers
30,4.626175,0.145639,0.490654,0.078526,0.347222,0.0005,conv,flowers
31,4.346058,0.173676,0.496885,0.076389,0.435897,0.0005,conv,flowers
32,4.169753,0.21729,0.544393,0.087607,0.395833,0.0005,conv,flowers
33,4.134622,0.206386,0.577882,0.110043,0.427885,0.0005,conv,flowers
34,4.036164,0.20405,0.580218,0.107372,0.422009,0.0005,conv,flowers
35,3.967135,0.214953,0.58567,0.103632,0.428953,0.0005,conv,flowers
36,3.911533,0.237539,0.61215,0.110577,0.409722,0.0005,conv,flowers
37,3.871458,0.245327,0.61838,0.106303,0.429487,0.0005,conv,flowers
38,3.816497,0.274143,0.637072,0.091346,0.472222,0.0005,conv,flowers
39,3.757441,0.281153,0.640966,0.100427,0.495726,0.0005,conv,flowers
40,3.757156,0.284268,0.64486,0.089209,0.482372,0.0005,conv,flowers
41,3.72011,0.288162,0.658879,0.081731,0.472756,0.0005,conv,flowers
42,3.692424,0.310748,0.653427,0.088141,0.498397,0.0005,conv,flowers
43,3.650894,0.316199,0.672118,0.082265,0.485043,0.0005,conv,flowers
44,3.605597,0.318536,0.668224,0.093483,0.515491,0.0005,conv,flowers
45,3.602167,0.338785,0.680685,0.099893,0.505342,0.0005,conv,flowers
46,3.557687,0.334112,0.685358,0.087073,0.504808,0.0005,conv,flowers
47,3.529731,0.342679,0.699377,0.084936,0.5,0.0005,conv,flowers
48,3.4975,0.35514,0.711838,0.083868,0.502137,0.0005,conv,flowers
49,3.420044,0.363707,0.724299,0.086538,0.530449,0.0005,conv,flowers
50,3.413643,0.367601,0.728193,0.094017,0.513889,0.0005,conv,flowers
