epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,19.174393,0.006322,0.030558,0.025316,0.122363,0.0005,fc+conv,cub
2,6.47669,0.006322,0.035827,0.025316,0.12616,0.0005,fc+conv,cub
3,6.288356,0.006322,0.042677,0.025316,0.127848,0.0005,fc+conv,cub
4,6.219931,0.014226,0.061117,0.025316,0.129958,0.0005,fc+conv,cub
5,6.16424,0.016333,0.081665,0.026582,0.140928,0.0005,fc+conv,cub
6,5.972853,0.029505,0.117492,0.039662,0.199156,0.0005,fc+conv,cub
7,5.675914,0.045311,0.174921,0.037975,0.245148,0.0005,fc+conv,cub
8,5.374021,0.074816,0.256059,0.056118,0.277637,0.0005,fc+conv,cub
9,4.973583,0.09589,0.38883,0.075105,0.343038,0.0005,fc+conv,cub
10,4.608706,0.138567,0.44942,0.073418,0.355696,0.0005,fc+conv,cub
11,4.320194,0.191254,0.528978,0.084388,0.356118,0.0005,fc+conv,cub
12,4.056938,0.217071,0.591149,0.094515,0.362025,0.0005,fc+conv,cub
13,3.830119,0.244468,0.626449,0.102532,0.372152,0.0005,fc+conv,cub
14,3.639302,0.274499,0.659642,0.101266,0.375105,0.0005,fc+conv,cub
15,3.445988,0.31823,0.687039,0.110549,0.379747,0.0005,fc+conv,cub
16,3.269091,0.323498,0.710748,0.124473,0.387342,0.0005,fc+conv,cub
17,3.160386,0.349842,0.733404,0.14557,0.404641,0.0005,fc+conv,cub
18,3.006247,0.391465,0.75079,0.152743,0.397046,0.0005,fc+conv,cub
19,2.796467,0.406217,0.775026,0.160759,0.410127,0.0005,fc+conv,cub
20,2.659705,0.427819,0.788725,0.163291,0.406751,0.0005,fc+conv,cub
21,2.557556,0.445732,0.796628,0.167511,0.413924,0.0005,fc+conv,cub
22,2.381752,0.454689,0.8098,0.159494,0.421097,0.0005,fc+conv,cub
23,2.265306,0.471549,0.818757,0.15654,0.423207,0.0005,fc+conv,cub
24,2.141946,0.472076,0.818757,0.157806,0.425316,0.0005,fc+conv,cub
25,2.027697,0.492624,0.831401,0.154008,0.422363,0.0005,fc+conv,cub
26,1.922481,0.496312,0.833509,0.165823,0.432489,0.0005,fc+conv,cub
27,1.815668,0.514226,0.835616,0.164135,0.433333,0.0005,fc+conv,cub
28,1.721458,0.50843,0.839305,0.162447,0.431646,0.0005,fc+conv,cub
29,1.63978,0.522655,0.839305,0.160338,0.437553,0.0005,fc+conv,cub
30,1.565797,0.532666,0.844573,0.156118,0.435021,0.0005,fc+conv,cub
31,1.488547,0.530032,0.8451,0.153586,0.433755,0.0005,fc+conv,cub
32,1.395501,0.534247,0.853003,0.15443,0.43038,0.0005,fc+conv,cub
33,1.309048,0.536354,0.851423,0.150633,0.437131,0.0005,fc+conv,cub
34,1.232202,0.556375,0.850369,0.151477,0.440506,0.0005,fc+conv,cub
35,1.134568,0.55058,0.852476,0.153586,0.436709,0.0005,fc+conv,cub
36,1.056967,0.546891,0.849315,0.146835,0.436287,0.0005,fc+conv,cub
37,0.97454,0.546891,0.847734,0.142616,0.435443,0.0005,fc+conv,cub
38,0.921613,0.55216,0.850896,0.148101,0.437553,0.0005,fc+conv,cub
39,0.864554,0.552687,0.848261,0.149789,0.441772,0.0005,fc+conv,cub
40,0.798251,0.561644,0.851423,0.149367,0.441772,0.0005,fc+conv,cub
41,0.765357,0.56059,0.850896,0.146414,0.437975,0.0005,fc+conv,cub
42,0.672276,0.560063,0.848788,0.14557,0.440506,0.0005,fc+conv,cub
43,0.605353,0.558483,0.856164,0.150211,0.440506,0.0005,fc+conv,cub
44,0.553072,0.563751,0.848261,0.147257,0.443882,0.0005,fc+conv,cub
45,0.550732,0.559009,0.849315,0.149367,0.441772,0.0005,fc+conv,cub
46,0.502853,0.563751,0.849842,0.146835,0.448101,0.0005,fc+conv,cub
47,0.437061,0.559536,0.842993,0.150633,0.440928,0.0005,fc+conv,cub
48,0.402063,0.555848,0.841412,0.155274,0.44135,0.0005,fc+conv,cub
49,0.356643,0.561644,0.8451,0.147257,0.445992,0.0005,fc+conv,cub
50,0.314336,0.563751,0.844046,0.14557,0.435021,0.0005,fc+conv,cub
