epoch,loss,seen_top1,seen_top5,unseen_top1,unseen_top5,learning_rate,model_type,dataset
1,23.960142,0.006322,0.031085,0.025359,0.125106,0.0005,conv,cub
2,6.984488,0.006322,0.031612,0.025359,0.125951,0.0005,conv,cub
3,6.536878,0.006322,0.031612,0.025359,0.125951,0.0005,conv,cub
4,6.435797,0.006322,0.032139,0.026205,0.126796,0.0005,conv,cub
5,6.358492,0.006322,0.034773,0.038039,0.126796,0.0005,conv,cub
6,6.300744,0.006322,0.036354,0.025782,0.126796,0.0005,conv,cub
7,6.259287,0.009484,0.039515,0.030008,0.127219,0.0005,conv,cub
8,6.209955,0.012645,0.062171,0.037194,0.13694,0.0005,conv,cub
9,6.067723,0.014752,0.072181,0.045224,0.139899,0.0005,conv,cub
10,5.897227,0.017387,0.097998,0.044801,0.181319,0.0005,conv,cub
11,5.755472,0.020021,0.113804,0.045224,0.216822,0.0005,conv,cub
12,5.661894,0.029505,0.1196,0.051141,0.221048,0.0005,conv,cub
13,5.624526,0.031612,0.12803,0.046069,0.234573,0.0005,conv,cub
14,5.580461,0.030032,0.140674,0.049451,0.242181,0.0005,conv,cub
15,5.54716,0.032666,0.155954,0.047337,0.244294,0.0005,conv,cub
16,5.507281,0.036354,0.165437,0.050719,0.25317,0.0005,conv,cub
17,5.464683,0.053741,0.202318,0.057904,0.274303,0.0005,conv,cub
18,5.297184,0.076396,0.297682,0.08284,0.312764,0.0005,conv,cub
19,5.064332,0.091149,0.336143,0.09721,0.354607,0.0005,conv,cub
20,4.977546,0.108535,0.384089,0.098478,0.338969,0.0005,conv,cub
21,4.885601,0.120653,0.413066,0.106509,0.343618,0.0005,conv,cub
22,4.811905,0.133825,0.433087,0.104396,0.345309,0.0005,conv,cub
23,4.764013,0.14647,0.449947,0.106086,0.341082,0.0005,conv,cub
24,4.720227,0.139621,0.455216,0.104396,0.346154,0.0005,conv,cub
25,4.689113,0.145416,0.469442,0.109045,0.352916,0.0005,conv,cub
26,4.66678,0.149631,0.458904,0.109045,0.340237,0.0005,conv,cub
27,4.659035,0.149631,0.457323,0.105241,0.33432,0.0005,conv,cub
28,4.615075,0.156481,0.478925,0.110735,0.357566,0.0005,conv,cub
29,4.585024,0.16491,0.478925,0.111158,0.34869,0.0005,conv,cub
30,4.547051,0.170179,0.498419,0.112003,0.355875,0.0005,conv,cub
31,4.541779,0.183351,0.512118,0.110313,0.367709,0.0005,conv,cub
32,4.449915,0.187566,0.514752,0.108622,0.377008,0.0005,conv,cub
33,4.499045,0.189146,0.526344,0.114962,0.374894,0.0005,conv,cub
34,4.366912,0.204426,0.553741,0.116653,0.389687,0.0005,conv,cub
35,4.306331,0.211802,0.557956,0.122147,0.385038,0.0005,conv,cub
36,4.272377,0.214436,0.570074,0.117921,0.395182,0.0005,conv,cub
37,4.237767,0.220232,0.581138,0.117498,0.394336,0.0005,conv,cub
38,4.201779,0.227608,0.582192,0.120456,0.384193,0.0005,conv,cub
39,4.168232,0.234984,0.597998,0.117075,0.395182,0.0005,conv,cub
40,4.144568,0.236565,0.591675,0.115807,0.396872,0.0005,conv,cub
41,4.126769,0.24236,0.591675,0.119189,0.404057,0.0005,conv,cub
42,4.173892,0.243414,0.607482,0.120456,0.409129,0.0005,conv,cub
43,4.118974,0.241834,0.611697,0.117498,0.393491,0.0005,conv,cub
44,4.086781,0.249737,0.612223,0.121724,0.407016,0.0005,conv,cub
45,4.08256,0.248156,0.624341,0.117921,0.393914,0.0005,conv,cub
46,4.075943,0.240253,0.61275,0.119189,0.401099,0.0005,conv,cub
47,4.069462,0.24921,0.615385,0.117498,0.394336,0.0005,conv,cub
48,4.04109,0.248683,0.62118,0.114117,0.401944,0.0005,conv,cub
49,4.043204,0.25079,0.624341,0.115385,0.401944,0.0005,conv,cub
50,4.047343,0.251844,0.619073,0.114962,0.405325,0.0005,conv,cub
51,4.03847,0.258693,0.632771,0.115385,0.392646,0.0005,conv,cub
52,4.017947,0.255005,0.627503,0.116653,0.403212,0.0005,conv,cub
53,4.010957,0.248683,0.6196,0.11623,0.401522,0.0005,conv,cub
54,4.021092,0.256059,0.631718,0.114539,0.397718,0.0005,conv,cub
55,4.009157,0.258693,0.622761,0.11623,0.406171,0.0005,conv,cub
